run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-3_7,seed-0,80.0,0.0,0.0
cross,cross-3_7,seed-1,100.0,0.0,0.0
cross,cross-3_7,seed-2,60.0,0.0,0.0
cross,cross-3_7,seed-3,100.0,0.0,0.0
cross,cross-3_7,seed-4,100.0,0.0,0.0
cross,cross-3_7,seed-5,60.0,0.0,0.0
cross,cross-3_7,seed-6,40.0,0.0,0.0
cross,cross-3_7,seed-7,100.0,0.0,0.0
cross,cross-3_7,seed-8,40.0,0.0,0.0
cross,cross-3_7,seed-9,0.0,0.0,0.0
cross,cross-3_7,mean,68.0,0.0,0.0
cross,cross-3_0,seed-0,80.0,0.0,0.0
cross,cross-3_0,seed-1,60.0,0.0,0.0
cross,cross-3_0,seed-2,80.0,0.0,0.0
cross,cross-3_0,seed-3,80.0,0.0,0.0
cross,cross-3_0,seed-4,80.0,0.0,0.0
cross,cross-3_0,seed-5,100.0,0.0,0.0
cross,cross-3_0,seed-6,60.0,0.0,0.0
cross,cross-3_0,seed-7,80.0,0.0,0.0
cross,cross-3_0,seed-8,40.0,0.0,0.0
cross,cross-3_0,seed-9,80.0,0.0,0.0
cross,cross-3_0,mean,74.0,0.0,0.0
cross,cross-3_9,seed-0,100.0,0.0,0.0
cross,cross-3_9,seed-1,100.0,0.0,0.0
cross,cross-3_9,seed-2,80.0,0.0,0.0
cross,cross-3_9,seed-3,100.0,0.0,0.0
cross,cross-3_9,seed-4,100.0,0.0,0.0
cross,cross-3_9,seed-5,100.0,0.0,0.0
cross,cross-3_9,seed-6,100.0,0.0,0.0
cross,cross-3_9,seed-7,120.0,0.0,0.0
cross,cross-3_9,seed-8,100.0,0.0,0.0
cross,cross-3_9,seed-9,100.0,0.0,0.0
cross,cross-3_9,mean,100.0,0.0,0.0
cross,cross-3_6,seed-0,120.0,0.0,0.0
cross,cross-3_6,seed-1,120.0,0.0,0.0
cross,cross-3_6,seed-2,120.0,0.0,0.0
cross,cross-3_6,seed-3,40.0,0.0,0.0
cross,cross-3_6,seed-4,120.0,0.0,0.0
cross,cross-3_6,seed-5,100.0,0.0,0.0
cross,cross-3_6,seed-6,100.0,0.0,0.0
cross,cross-3_6,seed-7,80.0,0.0,0.0
cross,cross-3_6,seed-8,100.0,0.0,0.0
cross,cross-3_6,seed-9,100.0,0.0,0.0
cross,cross-3_6,mean,100.0,0.0,0.0
cross,cross-3_1,seed-0,40.0,0.0,0.0
cross,cross-3_1,seed-1,80.0,0.0,0.0
cross,cross-3_1,seed-2,40.0,0.0,0.0
cross,cross-3_1,seed-3,20.0,0.0,0.0
cross,cross-3_1,seed-4,60.0,0.0,0.0
cross,cross-3_1,seed-5,60.0,0.0,0.0
cross,cross-3_1,seed-6,100.0,0.0,0.0
cross,cross-3_1,seed-7,60.0,0.0,0.0
cross,cross-3_1,seed-8,60.0,0.0,0.0
cross,cross-3_1,seed-9,60.0,0.0,0.0
cross,cross-3_1,mean,58.0,0.0,0.0
cross,cross-3_2,seed-0,20.0,0.0,0.0
cross,cross-3_2,seed-1,40.0,0.0,0.0
cross,cross-3_2,seed-2,20.0,0.0,0.0
cross,cross-3_2,seed-3,60.0,0.0,0.0
cross,cross-3_2,seed-4,60.0,0.0,0.0
cross,cross-3_2,seed-5,40.0,0.0,0.0
cross,cross-3_2,seed-6,60.0,0.0,0.0
cross,cross-3_2,seed-7,40.0,0.0,0.0
cross,cross-3_2,seed-8,20.0,0.0,0.0
cross,cross-3_2,seed-9,40.0,0.0,0.0
cross,cross-3_2,mean,40.0,0.0,0.0
cross,cross-3_4,seed-0,60.0,0.0,0.0
cross,cross-3_4,seed-1,60.0,0.0,0.0
cross,cross-3_4,seed-2,60.0,0.0,0.0
cross,cross-3_4,seed-3,80.0,0.0,0.0
cross,cross-3_4,seed-4,60.0,0.0,0.0
cross,cross-3_4,seed-5,100.0,0.0,0.0
cross,cross-3_4,seed-6,80.0,0.0,0.0
cross,cross-3_4,seed-7,40.0,0.0,0.0
cross,cross-3_4,seed-8,100.0,0.0,0.0
cross,cross-3_4,seed-9,100.0,0.0,0.0
cross,cross-3_4,mean,74.0,0.0,0.0
cross,cross-3_5,seed-0,40.0,0.0,0.0
cross,cross-3_5,seed-1,40.0,0.0,0.0
cross,cross-3_5,seed-2,60.0,0.0,0.0
cross,cross-3_5,seed-3,60.0,0.0,0.0
cross,cross-3_5,seed-4,0.0,0.0,0.0
cross,cross-3_5,seed-5,40.0,0.0,0.0
cross,cross-3_5,seed-6,40.0,0.0,0.0
cross,cross-3_5,seed-7,40.0,0.0,0.0
cross,cross-3_5,seed-8,60.0,0.0,0.0
