run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-3_7,seed-0,180.0,0.0,0.0
cross,cross-3_7,seed-1,180.0,0.0,0.0
cross,cross-3_7,seed-2,220.0,0.0,0.0
cross,cross-3_7,seed-3,160.0,0.0,0.0
cross,cross-3_7,seed-4,200.0,0.0,0.0
cross,cross-3_7,seed-5,200.0,0.0,0.0
cross,cross-3_7,seed-6,200.0,0.0,0.0
cross,cross-3_7,seed-7,20.0,0.0,0.0
cross,cross-3_7,seed-8,200.0,0.0,0.0
cross,cross-3_7,seed-9,40.0,0.0,0.0
cross,cross-3_7,mean,160.0,0.0,0.0
cross,cross-3_0,seed-0,180.0,0.0,0.0
cross,cross-3_0,seed-1,180.0,0.0,0.0
cross,cross-3_0,seed-2,180.0,0.0,0.0
cross,cross-3_0,seed-3,140.0,0.0,0.0
cross,cross-3_0,seed-4,180.0,0.0,0.0
cross,cross-3_0,seed-5,180.0,0.0,0.0
cross,cross-3_0,seed-6,180.0,0.0,0.0
cross,cross-3_0,seed-7,180.0,0.0,0.0
cross,cross-3_0,seed-8,200.0,0.0,0.0
cross,cross-3_0,seed-9,180.0,0.0,0.0
cross,cross-3_0,mean,178.0,0.0,0.0
cross,cross-3_9,seed-0,240.0,0.0,0.0
cross,cross-3_9,seed-1,220.0,0.0,0.0
cross,cross-3_9,seed-2,160.0,0.0,0.0
cross,cross-3_9,seed-3,240.0,0.0,0.0
cross,cross-3_9,seed-4,240.0,0.0,0.0
cross,cross-3_9,seed-5,180.0,0.0,0.0
cross,cross-3_9,seed-6,240.0,0.0,0.0
cross,cross-3_9,seed-7,200.0,0.0,0.0
cross,cross-3_9,seed-8,220.0,0.0,0.0
cross,cross-3_9,seed-9,180.0,0.0,0.0
cross,cross-3_9,mean,212.0,0.0,0.0
cross,cross-3_6,seed-0,200.0,0.0,0.0
cross,cross-3_6,seed-1,220.0,0.0,0.0
cross,cross-3_6,seed-2,220.0,0.0,0.0
cross,cross-3_6,seed-3,220.0,0.0,0.0
cross,cross-3_6,seed-4,220.0,0.0,0.0
cross,cross-3_6,seed-5,220.0,0.0,0.0
cross,cross-3_6,seed-6,240.0,0.0,0.0
cross,cross-3_6,seed-7,220.0,0.0,0.0
cross,cross-3_6,seed-8,240.0,0.0,0.0
cross,cross-3_6,seed-9,220.0,0.0,0.0
cross,cross-3_6,mean,222.0,0.0,0.0
