run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-3_7,seed-0,160.0,0.0,0.0
cross,cross-3_7,seed-1,180.0,0.0,0.0
cross,cross-3_7,seed-2,180.0,0.0,0.0
cross,cross-3_7,seed-3,180.0,0.0,0.0
cross,cross-3_7,seed-4,180.0,0.0,0.0
cross,cross-3_7,seed-5,180.0,0.0,0.0
cross,cross-3_7,seed-6,180.0,0.0,0.0
cross,cross-3_7,seed-7,180.0,0.0,0.0
cross,cross-3_7,seed-8,180.0,0.0,0.0
cross,cross-3_7,seed-9,180.0,0.0,0.0
cross,cross-3_7,mean,178.0,0.0,0.0
cross,cross-3_0,seed-0,120.0,0.0,0.0
cross,cross-3_0,seed-1,120.0,0.0,0.0
cross,cross-3_0,seed-2,120.0,0.0,0.0
cross,cross-3_0,seed-3,120.0,0.0,0.0
cross,cross-3_0,seed-4,120.0,0.0,0.0
cross,cross-3_0,seed-5,120.0,0.0,0.0
cross,cross-3_0,seed-6,120.0,0.0,0.0
cross,cross-3_0,seed-7,120.0,0.0,0.0
cross,cross-3_0,seed-8,120.0,0.0,0.0
cross,cross-3_0,seed-9,120.0,0.0,0.0
cross,cross-3_0,mean,120.0,0.0,0.0
cross,cross-3_9,seed-0,140.0,0.0,0.0
cross,cross-3_9,seed-1,140.0,0.0,0.0
cross,cross-3_9,seed-2,140.0,0.0,0.0
cross,cross-3_9,seed-3,140.0,0.0,0.0
cross,cross-3_9,seed-4,140.0,0.0,0.0
cross,cross-3_9,seed-5,160.0,0.0,0.0
cross,cross-3_9,seed-6,140.0,0.0,0.0
cross,cross-3_9,seed-7,140.0,0.0,0.0
cross,cross-3_9,seed-8,140.0,0.0,0.0
cross,cross-3_9,seed-9,120.0,0.0,0.0
cross,cross-3_9,mean,140.0,0.0,0.0
cross,cross-3_6,seed-0,160.0,0.0,0.0
cross,cross-3_6,seed-1,140.0,0.0,0.0
cross,cross-3_6,seed-2,160.0,0.0,0.0
cross,cross-3_6,seed-3,160.0,0.0,0.0
cross,cross-3_6,seed-4,140.0,0.0,0.0
cross,cross-3_6,seed-5,140.0,0.0,0.0
cross,cross-3_6,seed-6,160.0,0.0,0.0
cross,cross-3_6,seed-7,160.0,0.0,0.0
cross,cross-3_6,seed-8,160.0,0.0,0.0
cross,cross-3_6,seed-9,140.0,0.0,0.0
cross,cross-3_6,mean,152.0,0.0,0.0
cross,cross-3_1,seed-0,140.0,0.0,0.0
cross,cross-3_1,seed-1,140.0,0.0,0.0
cross,cross-3_1,seed-2,140.0,0.0,0.0
cross,cross-3_1,seed-3,140.0,0.0,0.0
cross,cross-3_1,seed-4,140.0,0.0,0.0
cross,cross-3_1,seed-5,140.0,0.0,0.0
cross,cross-3_1,seed-6,160.0,0.0,0.0
cross,cross-3_1,seed-7,140.0,0.0,0.0
cross,cross-3_1,seed-8,140.0,0.0,0.0
cross,cross-3_1,seed-9,140.0,0.0,0.0
cross,cross-3_1,mean,142.0,0.0,0.0
cross,cross-3_2,seed-0,160.0,0.0,0.0
cross,cross-3_2,seed-1,140.0,0.0,0.0
cross,cross-3_2,seed-2,160.0,0.0,0.0
cross,cross-3_2,seed-3,160.0,0.0,0.0
cross,cross-3_2,seed-4,160.0,0.0,0.0
cross,cross-3_2,seed-5,140.0,0.0,0.0
cross,cross-3_2,seed-6,140.0,0.0,0.0
cross,cross-3_2,seed-7,140.0,0.0,0.0
cross,cross-3_2,seed-8,140.0,0.0,0.0
cross,cross-3_2,seed-9,140.0,0.0,0.0
cross,cross-3_2,mean,148.0,0.0,0.0
cross,cross-3_4,seed-0,140.0,0.0,0.0
cross,cross-3_4,seed-1,120.0,0.0,0.0
cross,cross-3_4,seed-2,140.0,0.0,0.0
cross,cross-3_4,seed-3,120.0,0.0,0.0
cross,cross-3_4,seed-4,120.0,0.0,0.0
cross,cross-3_4,seed-5,140.0,0.0,0.0
cross,cross-3_4,seed-6,140.0,0.0,0.0
cross,cross-3_4,seed-7,140.0,0.0,0.0
cross,cross-3_4,seed-8,140.0,0.0,0.0
cross,cross-3_4,seed-9,120.0,0.0,0.0
cross,cross-3_4,mean,132.0,0.0,0.0
cross,cross-3_5,seed-0,180.0,0.0,0.0
cross,cross-3_5,seed-1,180.0,0.0,0.0
cross,cross-3_5,seed-2,180.0,0.0,0.0
cross,cross-3_5,seed-3,180.0,0.0,0.0
cross,cross-3_5,seed-4,180.0,0.0,0.0
cross,cross-3_5,seed-5,180.0,0.0,0.0
cross,cross-3_5,seed-6,180.0,0.0,0.0
cross,cross-3_5,seed-7,180.0,0.0,0.0
cross,cross-3_5,seed-8,180.0,0.0,0.0
cross,cross-3_5,seed-9,180.0,0.0,0.0
cross,cross-3_5,mean,180.0,0.0,0.0
cross,cross-3_8,seed-0,100.0,0.0,0.0
cross,cross-3_8,seed-1,120.0,0.0,0.0
cross,cross-3_8,seed-2,120.0,0.0,0.0
cross,cross-3_8,seed-3,100.0,0.0,0.0
cross,cross-3_8,seed-4,100.0,0.0,0.0
cross,cross-3_8,seed-5,120.0,0.0,0.0
cross,cross-3_8,seed-6,100.0,0.0,0.0
cross,cross-3_8,seed-7,100.0,0.0,0.0
cross,cross-3_8,seed-8,120.0,0.0,0.0
cross,cross-3_8,seed-9,140.0,0.0,0.0
cross,cross-3_8,mean,112.0,0.0,0.0
cross,cross-7_3,seed-0,140.0,0.0,0.0
cross,cross-7_3,seed-1,120.0,0.0,0.0
cross,cross-7_3,seed-2,140.0,0.0,0.0
cross,cross-7_3,seed-3,120.0,0.0,0.0
cross,cross-7_3,seed-4,140.0,0.0,0.0
cross,cross-7_3,seed-5,140.0,0.0,0.0
cross,cross-7_3,seed-6,120.0,0.0,0.0
cross,cross-7_3,seed-7,120.0,0.0,0.0
cross,cross-7_3,seed-8,140.0,0.0,0.0
cross,cross-7_3,seed-9,120.0,0.0,0.0
cross,cross-7_3,mean,130.0,0.0,0.0
cross,cross-7_0,seed-0,140.0,0.0,0.0
cross,cross-7_0,seed-1,120.0,0.0,0.0
cross,cross-7_0,seed-2,120.0,0.0,0.0
cross,cross-7_0,seed-3,120.0,0.0,0.0
cross,cross-7_0,seed-4,140.0,0.0,0.0
cross,cross-7_0,seed-5,120.0,0.0,0.0
cross,cross-7_0,seed-6,140.0,0.0,0.0
cross,cross-7_0,seed-7,140.0,0.0,0.0
cross,cross-7_0,seed-8,140.0,0.0,0.0
cross,cross-7_0,seed-9,120.0,0.0,0.0
cross,cross-7_0,mean,130.0,0.0,0.0
cross,cross-7_9,seed-0,140.0,0.0,0.0
cross,cross-7_9,seed-1,120.0,0.0,0.0
cross,cross-7_9,seed-2,140.0,0.0,0.0
cross,cross-7_9,seed-3,160.0,0.0,0.0
cross,cross-7_9,seed-4,140.0,0.0,0.0
cross,cross-7_9,seed-5,140.0,0.0,0.0
cross,cross-7_9,seed-6,140.0,0.0,0.0
cross,cross-7_9,seed-7,140.0,0.0,0.0
cross,cross-7_9,seed-8,120.0,0.0,0.0
cross,cross-7_9,seed-9,140.0,0.0,0.0
cross,cross-7_9,mean,138.0,0.0,0.0
cross,cross-7_6,seed-0,120.0,0.0,0.0
cross,cross-7_6,seed-1,120.0,0.0,0.0
cross,cross-7_6,seed-2,120.0,0.0,0.0
cross,cross-7_6,seed-3,140.0,0.0,0.0
cross,cross-7_6,seed-4,120.0,0.0,0.0
cross,cross-7_6,seed-5,140.0,0.0,0.0
cross,cross-7_6,seed-6,100.0,0.0,0.0
cross,cross-7_6,seed-7,120.0,0.0,0.0
cross,cross-7_6,seed-8,140.0,0.0,0.0
cross,cross-7_6,seed-9,100.0,0.0,0.0
cross,cross-7_6,mean,122.0,0.0,0.0
cross,cross-7_1,seed-0,120.0,0.0,0.0
cross,cross-7_1,seed-1,140.0,0.0,0.0
cross,cross-7_1,seed-2,120.0,0.0,0.0
cross,cross-7_1,seed-3,120.0,0.0,0.0
cross,cross-7_1,seed-4,120.0,0.0,0.0
cross,cross-7_1,seed-5,120.0,0.0,0.0
cross,cross-7_1,seed-6,120.0,0.0,0.0
cross,cross-7_1,seed-7,120.0,0.0,0.0
cross,cross-7_1,seed-8,140.0,0.0,0.0
cross,cross-7_1,seed-9,100.0,0.0,0.0
cross,cross-7_1,mean,122.0,0.0,0.0
cross,cross-7_2,seed-0,120.0,0.0,0.0
cross,cross-7_2,seed-1,120.0,0.0,0.0
cross,cross-7_2,seed-2,120.0,0.0,0.0
cross,cross-7_2,seed-3,120.0,0.0,0.0
cross,cross-7_2,seed-4,120.0,0.0,0.0
cross,cross-7_2,seed-5,120.0,0.0,0.0
cross,cross-7_2,seed-6,100.0,0.0,0.0
cross,cross-7_2,seed-7,120.0,0.0,0.0
cross,cross-7_2,seed-8,120.0,0.0,0.0
cross,cross-7_2,seed-9,100.0,0.0,0.0
cross,cross-7_2,mean,116.0,0.0,0.0
cross,cross-7_4,seed-0,120.0,0.0,0.0
cross,cross-7_4,seed-1,120.0,0.0,0.0
cross,cross-7_4,seed-2,140.0,0.0,0.0
cross,cross-7_4,seed-3,140.0,0.0,0.0
cross,cross-7_4,seed-4,140.0,0.0,0.0
cross,cross-7_4,seed-5,140.0,0.0,0.0
cross,cross-7_4,seed-6,140.0,0.0,0.0
cross,cross-7_4,seed-7,140.0,0.0,0.0
cross,cross-7_4,seed-8,140.0,0.0,0.0
cross,cross-7_4,seed-9,80.0,0.0,0.0
cross,cross-7_4,mean,130.0,0.0,0.0
cross,cross-7_5,seed-0,100.0,0.0,0.0
cross,cross-7_5,seed-1,120.0,0.0,0.0
cross,cross-7_5,seed-2,80.0,0.0,0.0
cross,cross-7_5,seed-3,120.0,0.0,0.0
cross,cross-7_5,seed-4,100.0,0.0,0.0
cross,cross-7_5,seed-5,100.0,0.0,0.0
cross,cross-7_5,seed-6,100.0,0.0,0.0
cross,cross-7_5,seed-7,120.0,0.0,0.0
cross,cross-7_5,seed-8,100.0,0.0,0.0
cross,cross-7_5,seed-9,80.0,0.0,0.0
cross,cross-7_5,mean,102.0,0.0,0.0
cross,cross-7_8,seed-0,140.0,0.0,0.0
cross,cross-7_8,seed-1,160.0,0.0,0.0
cross,cross-7_8,seed-2,140.0,0.0,0.0
cross,cross-7_8,seed-3,140.0,0.0,0.0
cross,cross-7_8,seed-4,160.0,0.0,0.0
cross,cross-7_8,seed-5,140.0,0.0,0.0
cross,cross-7_8,seed-6,140.0,0.0,0.0
cross,cross-7_8,seed-7,120.0,0.0,0.0
cross,cross-7_8,seed-8,140.0,0.0,0.0
cross,cross-7_8,seed-9,140.0,0.0,0.0
cross,cross-7_8,mean,142.0,0.0,0.0
cross,cross-0_3,seed-0,120.0,0.0,0.0
cross,cross-0_3,seed-1,100.0,0.0,0.0
cross,cross-0_3,seed-2,120.0,0.0,0.0
cross,cross-0_3,seed-3,120.0,0.0,0.0
cross,cross-0_3,seed-4,120.0,0.0,0.0
cross,cross-0_3,seed-5,40.0,0.0,0.0
cross,cross-0_3,seed-6,80.0,0.0,0.0
cross,cross-0_3,seed-7,100.0,0.0,0.0
cross,cross-0_3,seed-8,120.0,0.0,0.0
cross,cross-0_3,seed-9,120.0,0.0,0.0
cross,cross-0_3,mean,104.0,0.0,0.0
cross,cross-0_7,seed-0,40.0,0.0,0.0
cross,cross-0_7,seed-1,40.0,0.0,0.0
cross,cross-0_7,seed-2,160.0,0.0,0.0
cross,cross-0_7,seed-3,140.0,0.0,0.0
cross,cross-0_7,seed-4,100.0,0.0,0.0
cross,cross-0_7,seed-5,100.0,0.0,0.0
cross,cross-0_7,seed-6,180.0,0.0,0.0
cross,cross-0_7,seed-7,180.0,0.0,0.0
cross,cross-0_7,seed-8,140.0,0.0,0.0
cross,cross-0_7,seed-9,80.0,0.0,0.0
cross,cross-0_7,mean,116.0,0.0,0.0
cross,cross-0_9,seed-0,140.0,0.0,0.0
cross,cross-0_9,seed-1,120.0,0.0,0.0
cross,cross-0_9,seed-2,140.0,0.0,0.0
cross,cross-0_9,seed-3,140.0,0.0,0.0
cross,cross-0_9,seed-4,140.0,0.0,0.0
cross,cross-0_9,seed-5,140.0,0.0,0.0
cross,cross-0_9,seed-6,140.0,0.0,0.0
cross,cross-0_9,seed-7,120.0,0.0,0.0
cross,cross-0_9,seed-8,140.0,0.0,0.0
cross,cross-0_9,seed-9,140.0,0.0,0.0
cross,cross-0_9,mean,136.0,0.0,0.0
cross,cross-0_6,seed-0,160.0,0.0,0.0
cross,cross-0_6,seed-1,140.0,0.0,0.0
cross,cross-0_6,seed-2,160.0,0.0,0.0
cross,cross-0_6,seed-3,160.0,0.0,0.0
cross,cross-0_6,seed-4,160.0,0.0,0.0
cross,cross-0_6,seed-5,160.0,0.0,0.0
cross,cross-0_6,seed-6,160.0,0.0,0.0
cross,cross-0_6,seed-7,160.0,0.0,0.0
cross,cross-0_6,seed-8,160.0,0.0,0.0
cross,cross-0_6,seed-9,160.0,0.0,0.0
cross,cross-0_6,mean,158.0,0.0,0.0
cross,cross-0_1,seed-0,160.0,0.0,0.0
cross,cross-0_1,seed-1,140.0,0.0,0.0
cross,cross-0_1,seed-2,140.0,0.0,0.0
cross,cross-0_1,seed-3,160.0,0.0,0.0
cross,cross-0_1,seed-4,160.0,0.0,0.0
cross,cross-0_1,seed-5,140.0,0.0,0.0
cross,cross-0_1,seed-6,140.0,0.0,0.0
cross,cross-0_1,seed-7,160.0,0.0,0.0
cross,cross-0_1,seed-8,140.0,0.0,0.0
cross,cross-0_1,seed-9,140.0,0.0,0.0
cross,cross-0_1,mean,148.0,0.0,0.0
cross,cross-0_2,seed-0,160.0,0.0,0.0
cross,cross-0_2,seed-1,140.0,0.0,0.0
cross,cross-0_2,seed-2,140.0,0.0,0.0
cross,cross-0_2,seed-3,160.0,0.0,0.0
cross,cross-0_2,seed-4,160.0,0.0,0.0
cross,cross-0_2,seed-5,160.0,0.0,0.0
cross,cross-0_2,seed-6,140.0,0.0,0.0
cross,cross-0_2,seed-7,160.0,0.0,0.0
cross,cross-0_2,seed-8,160.0,0.0,0.0
cross,cross-0_2,seed-9,160.0,0.0,0.0
cross,cross-0_2,mean,154.0,0.0,0.0
cross,cross-0_4,seed-0,80.0,0.0,0.0
cross,cross-0_4,seed-1,120.0,0.0,0.0
cross,cross-0_4,seed-2,80.0,0.0,0.0
cross,cross-0_4,seed-3,140.0,0.0,0.0
cross,cross-0_4,seed-4,120.0,0.0,0.0
cross,cross-0_4,seed-5,120.0,0.0,0.0
cross,cross-0_4,seed-6,100.0,0.0,0.0
cross,cross-0_4,seed-7,120.0,0.0,0.0
cross,cross-0_4,seed-8,120.0,0.0,0.0
cross,cross-0_4,seed-9,100.0,0.0,0.0
cross,cross-0_4,mean,110.0,0.0,0.0
cross,cross-0_5,seed-0,180.0,0.0,0.0
cross,cross-0_5,seed-1,160.0,0.0,0.0
cross,cross-0_5,seed-2,160.0,0.0,0.0
cross,cross-0_5,seed-3,160.0,0.0,0.0
cross,cross-0_5,seed-4,160.0,0.0,0.0
cross,cross-0_5,seed-5,160.0,0.0,0.0
cross,cross-0_5,seed-6,160.0,0.0,0.0
cross,cross-0_5,seed-7,180.0,0.0,0.0
cross,cross-0_5,seed-8,180.0,0.0,0.0
cross,cross-0_5,seed-9,160.0,0.0,0.0
cross,cross-0_5,mean,166.0,0.0,0.0
cross,cross-0_8,seed-0,140.0,0.0,0.0
cross,cross-0_8,seed-1,120.0,0.0,0.0
cross,cross-0_8,seed-2,140.0,0.0,0.0
cross,cross-0_8,seed-3,120.0,0.0,0.0
cross,cross-0_8,seed-4,140.0,0.0,0.0
cross,cross-0_8,seed-5,140.0,0.0,0.0
cross,cross-0_8,seed-6,140.0,0.0,0.0
cross,cross-0_8,seed-7,140.0,0.0,0.0
cross,cross-0_8,seed-8,140.0,0.0,0.0
cross,cross-0_8,seed-9,120.0,0.0,0.0
cross,cross-0_8,mean,134.0,0.0,0.0
cross,cross-9_3,seed-0,80.0,0.0,0.0
cross,cross-9_3,seed-1,80.0,0.0,0.0
cross,cross-9_3,seed-2,80.0,0.0,0.0
cross,cross-9_3,seed-3,100.0,0.0,0.0
cross,cross-9_3,seed-4,80.0,0.0,0.0
cross,cross-9_3,seed-5,80.0,0.0,0.0
cross,cross-9_3,seed-6,60.0,0.0,0.0
cross,cross-9_3,seed-7,100.0,0.0,0.0
cross,cross-9_3,seed-8,60.0,0.0,0.0
cross,cross-9_3,seed-9,60.0,0.0,0.0
cross,cross-9_3,mean,78.0,0.0,0.0
cross,cross-9_7,seed-0,60.0,0.0,0.0
cross,cross-9_7,seed-1,140.0,0.0,0.0
cross,cross-9_7,seed-2,120.0,0.0,0.0
cross,cross-9_7,seed-3,160.0,0.0,0.0
cross,cross-9_7,seed-4,160.0,0.0,0.0
cross,cross-9_7,seed-5,160.0,0.0,0.0
cross,cross-9_7,seed-6,160.0,0.0,0.0
cross,cross-9_7,seed-7,140.0,0.0,0.0
cross,cross-9_7,seed-8,160.0,0.0,0.0
cross,cross-9_7,seed-9,160.0,0.0,0.0
cross,cross-9_7,mean,142.0,0.0,0.0
cross,cross-9_0,seed-0,60.0,0.0,0.0
cross,cross-9_0,seed-1,80.0,0.0,0.0
cross,cross-9_0,seed-2,100.0,0.0,0.0
cross,cross-9_0,seed-3,80.0,0.0,0.0
cross,cross-9_0,seed-4,100.0,0.0,0.0
cross,cross-9_0,seed-5,100.0,0.0,0.0
cross,cross-9_0,seed-6,80.0,0.0,0.0
cross,cross-9_0,seed-7,80.0,0.0,0.0
cross,cross-9_0,seed-8,80.0,0.0,0.0
cross,cross-9_0,seed-9,40.0,0.0,0.0
cross,cross-9_0,mean,80.0,0.0,0.0
cross,cross-9_6,seed-0,120.0,0.0,0.0
cross,cross-9_6,seed-1,120.0,0.0,0.0
cross,cross-9_6,seed-2,120.0,0.0,0.0
cross,cross-9_6,seed-3,120.0,0.0,0.0
cross,cross-9_6,seed-4,120.0,0.0,0.0
cross,cross-9_6,seed-5,120.0,0.0,0.0
cross,cross-9_6,seed-6,120.0,0.0,0.0
cross,cross-9_6,seed-7,120.0,0.0,0.0
