run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-3_7,seed-0,260.0,0.0,0.0
cross,cross-3_7,seed-1,260.0,0.0,0.0
cross,cross-3_7,seed-2,260.0,0.0,0.0
cross,cross-3_7,seed-3,260.0,0.0,0.0
cross,cross-3_7,seed-4,260.0,0.0,0.0
cross,cross-3_7,seed-5,260.0,0.0,0.0
cross,cross-3_7,seed-6,280.0,0.0,0.0
cross,cross-3_7,seed-7,260.0,0.0,0.0
cross,cross-3_7,seed-8,260.0,0.0,0.0
cross,cross-3_7,seed-9,500.0,0.0,0.0
cross,cross-3_7,mean,286.0,0.0,0.0
cross,cross-3_0,seed-0,500.0,0.0,0.0
cross,cross-3_0,seed-1,500.0,0.0,0.0
cross,cross-3_0,seed-2,500.0,0.0,0.0
cross,cross-3_0,seed-3,500.0,0.0,0.0
cross,cross-3_0,seed-4,500.0,0.0,0.0
cross,cross-3_0,seed-5,500.0,0.0,0.0
cross,cross-3_0,seed-6,500.0,0.0,0.0
cross,cross-3_0,seed-7,500.0,0.0,0.0
cross,cross-3_0,seed-8,500.0,0.0,0.0
cross,cross-3_0,seed-9,500.0,0.0,0.0
cross,cross-3_0,mean,500.0,0.0,0.0
cross,cross-3_9,seed-0,500.0,0.0,0.0
cross,cross-3_9,seed-1,480.0,0.0,0.0
cross,cross-3_9,seed-2,500.0,0.0,0.0
cross,cross-3_9,seed-3,480.0,0.0,0.0
cross,cross-3_9,seed-4,480.0,0.0,0.0
cross,cross-3_9,seed-5,480.0,0.0,0.0
cross,cross-3_9,seed-6,500.0,0.0,0.0
cross,cross-3_9,seed-7,480.0,0.0,0.0
cross,cross-3_9,seed-8,480.0,0.0,0.0
cross,cross-3_9,seed-9,500.0,0.0,0.0
cross,cross-3_9,mean,488.0,0.0,0.0
cross,cross-3_6,seed-0,480.0,0.0,0.0
cross,cross-3_6,seed-1,480.0,0.0,0.0
cross,cross-3_6,seed-2,480.0,0.0,0.0
cross,cross-3_6,seed-3,480.0,0.0,0.0
cross,cross-3_6,seed-4,480.0,0.0,0.0
cross,cross-3_6,seed-5,480.0,0.0,0.0
cross,cross-3_6,seed-6,500.0,0.0,0.0
cross,cross-3_6,seed-7,500.0,0.0,0.0
cross,cross-3_6,seed-8,480.0,0.0,0.0
cross,cross-3_6,seed-9,480.0,0.0,0.0
cross,cross-3_6,mean,484.0,0.0,0.0
cross,cross-3_1,seed-0,500.0,0.0,0.0
cross,cross-3_1,seed-1,500.0,0.0,0.0
cross,cross-3_1,seed-2,500.0,0.0,0.0
cross,cross-3_1,seed-3,500.0,0.0,0.0
cross,cross-3_1,seed-4,500.0,0.0,0.0
cross,cross-3_1,seed-5,500.0,0.0,0.0
cross,cross-3_1,seed-6,500.0,0.0,0.0
cross,cross-3_1,seed-7,500.0,0.0,0.0
cross,cross-3_1,seed-8,500.0,0.0,0.0
cross,cross-3_1,seed-9,500.0,0.0,0.0
cross,cross-3_1,mean,500.0,0.0,0.0
cross,cross-3_2,seed-0,500.0,0.0,0.0
cross,cross-3_2,seed-1,480.0,0.0,0.0
cross,cross-3_2,seed-2,480.0,0.0,0.0
cross,cross-3_2,seed-3,480.0,0.0,0.0
cross,cross-3_2,seed-4,480.0,0.0,0.0
cross,cross-3_2,seed-5,480.0,0.0,0.0
cross,cross-3_2,seed-6,480.0,0.0,0.0
cross,cross-3_2,seed-7,480.0,0.0,0.0
cross,cross-3_2,seed-8,480.0,0.0,0.0
cross,cross-3_2,seed-9,480.0,0.0,0.0
cross,cross-3_2,mean,482.0,0.0,0.0
cross,cross-3_4,seed-0,400.0,0.0,0.0
cross,cross-3_4,seed-1,420.0,0.0,0.0
cross,cross-3_4,seed-2,440.0,0.0,0.0
cross,cross-3_4,seed-3,420.0,0.0,0.0
cross,cross-3_4,seed-4,400.0,0.0,0.0
cross,cross-3_4,seed-5,420.0,0.0,0.0
cross,cross-3_4,seed-6,440.0,0.0,0.0
cross,cross-3_4,seed-7,400.0,0.0,0.0
cross,cross-3_4,seed-8,400.0,0.0,0.0
cross,cross-3_4,seed-9,420.0,0.0,0.0
cross,cross-3_4,mean,416.0,0.0,0.0
cross,cross-3_5,seed-0,260.0,0.0,0.0
cross,cross-3_5,seed-1,260.0,0.0,0.0
cross,cross-3_5,seed-2,260.0,0.0,0.0
cross,cross-3_5,seed-3,260.0,0.0,0.0
cross,cross-3_5,seed-4,260.0,0.0,0.0
cross,cross-3_5,seed-5,260.0,0.0,0.0
cross,cross-3_5,seed-6,260.0,0.0,0.0
cross,cross-3_5,seed-7,260.0,0.0,0.0
cross,cross-3_5,seed-8,280.0,0.0,0.0
cross,cross-3_5,seed-9,260.0,0.0,0.0
cross,cross-3_5,mean,262.0,0.0,0.0
cross,cross-3_8,seed-0,460.0,0.0,0.0
cross,cross-3_8,seed-1,460.0,0.0,0.0
cross,cross-3_8,seed-2,480.0,0.0,0.0
cross,cross-3_8,seed-3,480.0,0.0,0.0
cross,cross-3_8,seed-4,480.0,0.0,0.0
cross,cross-3_8,seed-5,460.0,0.0,0.0
cross,cross-3_8,seed-6,480.0,0.0,0.0
cross,cross-3_8,seed-7,460.0,0.0,0.0
cross,cross-3_8,seed-8,460.0,0.0,0.0
