run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-3_0,seed-0,200.0,0.0,0.0
cross,cross-3_0,seed-1,180.0,0.0,0.0
cross,cross-3_0,seed-2,180.0,0.0,0.0
cross,cross-3_0,seed-3,180.0,0.0,0.0
cross,cross-3_0,seed-4,180.0,0.0,0.0
cross,cross-3_0,seed-5,180.0,0.0,0.0
cross,cross-3_0,seed-6,200.0,0.0,0.0
cross,cross-3_0,seed-7,180.0,0.0,0.0
cross,cross-3_0,seed-8,180.0,0.0,0.0
cross,cross-3_0,seed-9,180.0,0.0,0.0
cross,cross-3_0,mean,184.0,0.0,0.0
cross,cross-3_1,seed-0,180.0,0.0,0.0
cross,cross-3_1,seed-1,160.0,0.0,0.0
cross,cross-3_1,seed-2,180.0,0.0,0.0
cross,cross-3_1,seed-3,160.0,0.0,0.0
cross,cross-3_1,seed-4,180.0,0.0,0.0
cross,cross-3_1,seed-5,180.0,0.0,0.0
cross,cross-3_1,seed-6,180.0,0.0,0.0
cross,cross-3_1,seed-7,160.0,0.0,0.0
cross,cross-3_1,seed-8,160.0,0.0,0.0
cross,cross-3_1,seed-9,160.0,0.0,0.0
cross,cross-3_1,mean,170.0,0.0,0.0
cross,cross-3_2,seed-0,180.0,0.0,0.0
cross,cross-3_2,seed-1,180.0,0.0,0.0
cross,cross-3_2,seed-2,180.0,0.0,0.0
cross,cross-3_2,seed-3,180.0,0.0,0.0
cross,cross-3_2,seed-4,180.0,0.0,0.0
cross,cross-3_2,seed-5,180.0,0.0,0.0
cross,cross-3_2,seed-6,180.0,0.0,0.0
cross,cross-3_2,seed-7,180.0,0.0,0.0
cross,cross-3_2,seed-8,180.0,0.0,0.0
cross,cross-3_2,seed-9,180.0,0.0,0.0
cross,cross-3_2,mean,180.0,0.0,0.0
cross,cross-3_4,seed-0,180.0,0.0,0.0
cross,cross-3_4,seed-1,180.0,0.0,0.0
cross,cross-3_4,seed-2,180.0,0.0,0.0
cross,cross-3_4,seed-3,180.0,0.0,0.0
cross,cross-3_4,seed-4,200.0,0.0,0.0
cross,cross-3_4,seed-5,180.0,0.0,0.0
