bc0_seed,bc1_seed,mean_reward,std_reward
seed_0,seed_0,12.00,24.00
seed_0,seed_1,32.00,32.50
seed_0,seed_2,4.00,8.00
seed_0,seed_3,24.00,29.39
seed_0,seed_4,24.00,32.00
seed_1,seed_0,40.00,28.28
seed_1,seed_1,36.00,32.00
seed_1,seed_2,40.00,25.30
seed_1,seed_3,48.00,44.90
seed_1,seed_4,84.00,75.26
seed_2,seed_0,28.00,24.00
seed_2,seed_1,12.00,9.80
seed_2,seed_2,88.00,73.32
seed_2,seed_3,104.00,38.78
seed_2,seed_4,24.00,32.00
seed_3,seed_0,56.00,26.53
seed_3,seed_1,84.00,68.59
seed_3,seed_2,60.00,56.57
seed_3,seed_3,36.00,34.41
seed_3,seed_4,24.00,23.32
seed_4,seed_0,64.00,38.78
seed_4,seed_1,112.00,54.55
seed_4,seed_2,124.00,66.21
seed_4,seed_3,44.00,8.00
seed_4,seed_4,104.00,61.19
