bc0_seed,bc1_seed,mean_reward,std_reward
seed_0,seed_0,52.00,29.93
seed_0,seed_1,44.00,26.53
seed_0,seed_2,20.00,21.91
seed_0,seed_3,20.00,21.91
seed_0,seed_4,60.00,12.65
seed_1,seed_0,56.00,23.32
seed_1,seed_1,40.00,21.91
seed_1,seed_2,40.00,33.47
seed_1,seed_3,48.00,9.80
seed_1,seed_4,32.00,29.93
seed_2,seed_0,24.00,23.32
seed_2,seed_1,28.00,34.87
seed_2,seed_2,36.00,32.00
seed_2,seed_3,24.00,23.32
seed_2,seed_4,36.00,29.39
seed_3,seed_0,16.00,14.97
seed_3,seed_1,8.00,16.00
seed_3,seed_2,28.00,20.40
seed_3,seed_3,32.00,24.00
seed_3,seed_4,36.00,29.39
seed_4,seed_0,24.00,14.97
seed_4,seed_1,44.00,14.97
seed_4,seed_2,20.00,12.65
seed_4,seed_3,32.00,27.13
seed_4,seed_4,24.00,14.97
