bc0_seed,bc1_seed,mean_reward,std_reward
seed_0,seed_0,68.00,16.00
seed_0,seed_1,48.00,24.00
seed_0,seed_2,44.00,44.54
seed_0,seed_3,56.00,34.41
seed_0,seed_4,56.00,34.41
seed_1,seed_0,104.00,23.32
seed_1,seed_1,44.00,54.26
seed_1,seed_2,60.00,28.28
seed_1,seed_3,60.00,35.78
seed_1,seed_4,88.00,43.08
seed_2,seed_0,80.00,45.61
seed_2,seed_1,48.00,44.90
seed_2,seed_2,52.00,16.00
seed_2,seed_3,60.00,12.65
seed_2,seed_4,80.00,45.61
seed_3,seed_0,72.00,20.40
seed_3,seed_1,68.00,16.00
seed_3,seed_2,36.00,14.97
seed_3,seed_3,92.00,32.50
seed_3,seed_4,56.00,29.39
seed_4,seed_0,72.00,16.00
seed_4,seed_1,80.00,35.78
seed_4,seed_2,56.00,40.79
seed_4,seed_3,64.00,46.30
seed_4,seed_4,72.00,43.08
