bc0_seed,bc1_seed,mean_reward,std_reward
seed_0,seed_0,16.00,14.97
seed_0,seed_1,12.00,24.00
seed_0,seed_2,0.00,0.00
seed_0,seed_3,8.00,9.80
seed_0,seed_4,4.00,8.00
seed_1,seed_0,12.00,16.00
seed_1,seed_1,8.00,16.00
seed_1,seed_2,8.00,9.80
seed_1,seed_3,12.00,9.80
seed_1,seed_4,8.00,9.80
seed_2,seed_0,8.00,9.80
seed_2,seed_1,8.00,16.00
seed_2,seed_2,8.00,9.80
seed_2,seed_3,8.00,9.80
seed_2,seed_4,4.00,8.00
seed_3,seed_0,28.00,16.00
seed_3,seed_1,16.00,14.97
seed_3,seed_2,28.00,9.80
seed_3,seed_3,8.00,9.80
seed_3,seed_4,4.00,8.00
seed_4,seed_0,12.00,16.00
seed_4,seed_1,8.00,9.80
seed_4,seed_2,12.00,9.80
seed_4,seed_3,0.00,0.00
seed_4,seed_4,4.00,8.00
