bc_pos,bc_seed,cec_seed,mean_reward,std_reward
0,0,0,48.00,51.54
0,0,1,12.00,16.00
0,0,2,4.00,8.00
0,0,3,12.00,24.00
0,0,4,48.00,37.09
0,1,0,12.00,9.80
0,1,1,20.00,40.00
0,1,2,24.00,8.00
0,1,3,20.00,21.91
0,1,4,24.00,19.60
0,2,0,40.00,41.95
0,2,1,24.00,32.00
0,2,2,32.00,37.09
0,2,3,24.00,19.60
0,2,4,8.00,9.80
0,3,0,20.00,17.89
0,3,1,28.00,20.40
0,3,2,40.00,41.95
0,3,3,28.00,37.09
0,3,4,12.00,16.00
0,4,0,76.00,29.39
0,4,1,24.00,14.97
0,4,2,44.00,38.78
0,4,3,60.00,21.91
0,4,4,52.00,46.65
1,0,0,284.00,29.39
1,0,1,312.00,16.00
1,0,2,300.00,41.95
1,0,3,336.00,8.00
1,0,4,280.00,35.78
1,1,0,232.00,16.00
1,1,1,276.00,14.97
1,1,2,264.00,19.60
1,1,3,272.00,16.00
1,1,4,208.00,80.60
1,2,0,272.00,9.80
1,2,1,224.00,61.19
1,2,2,248.00,37.09
1,2,3,260.00,52.15
1,2,4,220.00,30.98
1,3,0,260.00,37.95
1,3,1,288.00,32.50
1,3,2,296.00,19.60
1,3,3,268.00,61.45
1,3,4,260.00,33.47
1,4,0,232.00,57.41
1,4,1,296.00,14.97
1,4,2,312.00,32.50
1,4,3,264.00,34.41
1,4,4,256.00,14.97
