bc_pos,bc_seed,cec_seed,mean_reward,std_reward
0,0,0,124.00,23.32
0,0,1,104.00,23.32
0,0,2,124.00,14.97
0,0,3,128.00,27.13
0,0,4,148.00,20.40
0,1,0,156.00,32.00
0,1,1,120.00,21.91
0,1,2,144.00,29.39
0,1,3,140.00,17.89
0,1,4,152.00,27.13
0,2,0,160.00,25.30
0,2,1,112.00,32.50
0,2,2,132.00,27.13
0,2,3,116.00,29.39
0,2,4,140.00,33.47
0,3,0,156.00,19.60
0,3,1,160.00,0.00
0,3,2,112.00,29.93
0,3,3,136.00,29.39
0,3,4,104.00,34.41
0,4,0,176.00,19.60
0,4,1,136.00,26.53
0,4,2,168.00,27.13
0,4,3,116.00,40.79
0,4,4,116.00,40.79
1,0,0,136.00,19.60
1,0,1,120.00,17.89
1,0,2,124.00,19.60
1,0,3,112.00,9.80
1,0,4,104.00,29.39
1,1,0,116.00,19.60
1,1,1,132.00,16.00
1,1,2,116.00,40.79
1,1,3,68.00,9.80
1,1,4,124.00,23.32
1,2,0,132.00,27.13
1,2,1,68.00,24.00
1,2,2,136.00,19.60
1,2,3,120.00,28.28
1,2,4,120.00,28.28
1,3,0,124.00,32.00
1,3,1,128.00,24.00
1,3,2,124.00,26.53
1,3,3,56.00,32.00
1,3,4,108.00,9.80
1,4,0,140.00,17.89
1,4,1,132.00,27.13
1,4,2,128.00,46.65
1,4,3,132.00,27.13
1,4,4,120.00,43.82
