bc_pos,bc_seed,cec_seed,mean_reward,std_reward
0,0,0,56.00,32.00
0,0,1,12.00,16.00
0,0,2,12.00,9.80
0,0,3,4.00,8.00
0,0,4,16.00,19.60
0,1,0,44.00,19.60
0,1,1,8.00,16.00
0,1,2,16.00,23.32
0,1,3,12.00,9.80
0,1,4,24.00,14.97
0,2,0,20.00,12.65
0,2,1,0.00,0.00
0,2,2,0.00,0.00
0,2,3,0.00,0.00
0,2,4,4.00,8.00
0,3,0,32.00,27.13
0,3,1,12.00,16.00
0,3,2,16.00,14.97
0,3,3,16.00,19.60
0,3,4,16.00,14.97
0,4,0,24.00,14.97
0,4,1,8.00,16.00
0,4,2,4.00,8.00
0,4,3,4.00,8.00
0,4,4,20.00,12.65
1,0,0,40.00,25.30
1,0,1,12.00,16.00
1,0,2,16.00,19.60
1,0,3,12.00,16.00
1,0,4,20.00,21.91
1,1,0,52.00,20.40
1,1,1,16.00,14.97
1,1,2,20.00,17.89
1,1,3,4.00,8.00
1,1,4,56.00,8.00
1,2,0,20.00,12.65
1,2,1,28.00,9.80
1,2,2,24.00,14.97
1,2,3,12.00,16.00
1,2,4,16.00,8.00
1,3,0,48.00,27.13
1,3,1,36.00,23.32
1,3,2,28.00,20.40
1,3,3,20.00,17.89
1,3,4,64.00,14.97
1,4,0,36.00,23.32
1,4,1,40.00,12.65
1,4,2,12.00,16.00
1,4,3,16.00,8.00
1,4,4,28.00,16.00
