bc_pos,bc_seed,cec_seed,mean_reward,std_reward
0,0,0,132.00,34.87
0,0,1,140.00,25.30
0,0,2,160.00,17.89
0,0,3,80.00,33.47
0,0,4,136.00,14.97
0,1,0,140.00,21.91
0,1,1,84.00,23.32
0,1,2,160.00,12.65
0,1,3,120.00,37.95
0,1,4,108.00,48.33
0,2,0,132.00,61.45
0,2,1,104.00,51.22
0,2,2,100.00,41.95
0,2,3,120.00,41.95
0,2,4,96.00,54.26
0,3,0,116.00,49.64
0,3,1,124.00,32.00
0,3,2,156.00,19.60
0,3,3,68.00,24.00
0,3,4,136.00,38.78
0,4,0,88.00,56.00
0,4,1,136.00,23.32
0,4,2,144.00,32.00
0,4,3,104.00,64.99
0,4,4,140.00,28.28
1,0,0,144.00,23.32
1,0,1,132.00,9.80
1,0,2,160.00,12.65
1,0,3,104.00,29.39
1,0,4,152.00,37.09
1,1,0,164.00,26.53
1,1,1,136.00,34.41
1,1,2,160.00,12.65
1,1,3,108.00,37.09
1,1,4,112.00,77.56
1,2,0,156.00,36.66
1,2,1,116.00,38.78
1,2,2,160.00,21.91
1,2,3,124.00,38.78
1,2,4,144.00,59.87
1,3,0,156.00,23.32
1,3,1,152.00,16.00
1,3,2,188.00,20.40
1,3,3,116.00,59.87
1,3,4,168.00,16.00
1,4,0,168.00,16.00
1,4,1,112.00,29.93
1,4,2,144.00,8.00
1,4,3,104.00,55.71
1,4,4,140.00,53.67
