bc_pos,bc_seed,rl_seed,mean_reward,std_reward
0,0,0,0.00,0.00
0,0,1,0.00,0.00
0,0,2,0.00,0.00
0,0,3,0.00,0.00
0,0,4,0.00,0.00
0,0,5,0.00,0.00
0,0,6,0.00,0.00
0,0,7,0.00,0.00
0,1,0,4.00,8.00
0,1,1,0.00,0.00
0,1,2,0.00,0.00
0,1,3,0.00,0.00
0,1,4,0.00,0.00
0,1,5,0.00,0.00
0,1,6,0.00,0.00
0,1,7,4.00,8.00
0,2,0,4.00,8.00
0,2,1,0.00,0.00
0,2,2,0.00,0.00
0,2,3,0.00,0.00
0,2,4,0.00,0.00
0,2,5,0.00,0.00
0,2,6,0.00,0.00
0,2,7,0.00,0.00
0,3,0,4.00,8.00
0,3,1,0.00,0.00
0,3,2,0.00,0.00
0,3,3,0.00,0.00
0,3,4,0.00,0.00
0,3,5,0.00,0.00
0,3,6,0.00,0.00
0,3,7,4.00,8.00
0,4,0,0.00,0.00
0,4,1,0.00,0.00
0,4,2,0.00,0.00
0,4,3,0.00,0.00
0,4,4,0.00,0.00
0,4,5,0.00,0.00
0,4,6,0.00,0.00
0,4,7,0.00,0.00
1,0,0,0.00,0.00
1,0,1,8.00,9.80
1,0,2,16.00,14.97
1,0,3,4.00,8.00
1,0,4,4.00,8.00
1,0,5,0.00,0.00
1,0,6,0.00,0.00
1,0,7,0.00,0.00
1,1,0,0.00,0.00
1,1,1,0.00,0.00
1,1,2,8.00,16.00
1,1,3,0.00,0.00
1,1,4,0.00,0.00
1,1,5,4.00,8.00
1,1,6,4.00,8.00
1,1,7,8.00,9.80
1,2,0,0.00,0.00
1,2,1,4.00,8.00
1,2,2,28.00,20.40
1,2,3,0.00,0.00
1,2,4,0.00,0.00
1,2,5,4.00,8.00
1,2,6,0.00,0.00
1,2,7,12.00,9.80
1,3,0,0.00,0.00
1,3,1,4.00,8.00
1,3,2,16.00,14.97
1,3,3,0.00,0.00
1,3,4,0.00,0.00
1,3,5,0.00,0.00
1,3,6,4.00,8.00
1,3,7,4.00,8.00
1,4,0,4.00,8.00
1,4,1,24.00,29.39
1,4,2,16.00,14.97
1,4,3,0.00,0.00
1,4,4,0.00,0.00
1,4,5,4.00,8.00
1,4,6,4.00,8.00
1,4,7,8.00,9.80
