bc_pos,bc_seed,rl_seed,mean_reward,std_reward
0,0,0,204.00,14.97
0,0,1,220.00,12.65
0,0,2,212.00,29.93
0,0,3,220.00,21.91
0,0,4,228.00,16.00
0,0,5,216.00,8.00
0,0,6,212.00,24.00
0,0,7,204.00,23.32
0,0,8,252.00,9.80
0,0,9,204.00,19.60
0,1,0,208.00,27.13
0,1,1,224.00,14.97
0,1,2,228.00,9.80
0,1,3,204.00,14.97
0,1,4,196.00,23.32
0,1,5,216.00,23.32
0,1,6,220.00,12.65
0,1,7,224.00,8.00
0,1,8,228.00,20.40
0,1,9,200.00,12.65
0,2,0,200.00,25.30
0,2,1,208.00,16.00
0,2,2,212.00,16.00
0,2,3,232.00,20.40
0,2,4,216.00,8.00
0,2,5,212.00,16.00
0,2,6,212.00,16.00
0,2,7,192.00,27.13
0,2,8,216.00,19.60
0,2,9,216.00,14.97
0,3,0,212.00,29.93
0,3,1,220.00,12.65
0,3,2,212.00,9.80
0,3,3,228.00,9.80
0,3,4,216.00,8.00
0,3,5,200.00,33.47
0,3,6,212.00,9.80
0,3,7,200.00,21.91
0,3,8,220.00,28.28
0,3,9,204.00,19.60
0,4,0,212.00,29.93
0,4,1,212.00,20.40
0,4,2,208.00,16.00
0,4,3,212.00,16.00
0,4,4,184.00,19.60
0,4,5,208.00,9.80
0,4,6,212.00,20.40
0,4,7,208.00,27.13
0,4,8,216.00,29.39
0,4,9,200.00,12.65
1,0,0,300.00,30.98
1,0,1,304.00,23.32
1,0,2,308.00,9.80
1,0,3,280.00,35.78
1,0,4,296.00,40.79
1,0,5,312.00,9.80
1,0,6,260.00,30.98
1,0,7,272.00,27.13
1,0,8,212.00,60.13
1,0,9,236.00,54.26
1,1,0,236.00,23.32
1,1,1,268.00,37.09
1,1,2,264.00,8.00
1,1,3,236.00,26.53
1,1,4,240.00,35.78
1,1,5,264.00,23.32
1,1,6,248.00,27.13
1,1,7,256.00,14.97
1,1,8,244.00,23.32
1,1,9,248.00,34.87
1,2,0,212.00,43.08
1,2,1,272.00,20.40
1,2,2,252.00,54.55
1,2,3,244.00,26.53
1,2,4,256.00,55.71
1,2,5,204.00,42.71
1,2,6,232.00,29.93
1,2,7,236.00,49.64
1,2,8,236.00,44.54
1,2,9,256.00,29.39
1,3,0,288.00,16.00
1,3,1,284.00,14.97
1,3,2,256.00,26.53
1,3,3,272.00,29.93
1,3,4,264.00,23.32
1,3,5,256.00,29.39
1,3,6,252.00,41.18
1,3,7,256.00,55.71
1,3,8,232.00,87.27
1,3,9,220.00,52.15
1,4,0,272.00,29.93
1,4,1,304.00,23.32
1,4,2,264.00,29.39
1,4,3,248.00,43.08
1,4,4,272.00,20.40
1,4,5,280.00,21.91
1,4,6,240.00,75.89
1,4,7,276.00,38.78
1,4,8,264.00,23.32
1,4,9,256.00,19.60
