bc_pos,bc_seed,rl_seed,mean_reward,std_reward
0,0,0,100.00,84.85
0,0,1,96.00,23.32
0,0,2,152.00,29.93
0,0,3,128.00,37.09
0,0,4,132.00,27.13
0,0,5,116.00,67.41
0,0,6,96.00,48.00
0,0,7,100.00,35.78
0,0,8,152.00,27.13
0,0,9,128.00,54.55
0,1,0,92.00,39.19
0,1,1,92.00,48.33
0,1,2,144.00,14.97
0,1,3,100.00,48.99
0,1,4,140.00,17.89
0,1,5,68.00,16.00
0,1,6,140.00,17.89
0,1,7,132.00,20.40
0,1,8,128.00,41.18
0,1,9,100.00,30.98
0,2,0,84.00,19.60
0,2,1,96.00,23.32
0,2,2,120.00,65.73
0,2,3,116.00,38.78
0,2,4,128.00,44.90
0,2,5,132.00,32.50
0,2,6,116.00,52.76
0,2,7,144.00,19.60
0,2,8,108.00,37.09
0,2,9,60.00,28.28
0,3,0,76.00,23.32
0,3,1,120.00,25.30
0,3,2,104.00,38.78
0,3,3,120.00,21.91
0,3,4,104.00,32.00
0,3,5,124.00,54.26
0,3,6,108.00,37.09
0,3,7,104.00,14.97
0,3,8,112.00,29.93
0,3,9,120.00,17.89
0,4,0,144.00,26.53
0,4,1,84.00,29.39
0,4,2,140.00,40.00
0,4,3,116.00,40.79
0,4,4,120.00,35.78
0,4,5,116.00,29.39
0,4,6,132.00,27.13
0,4,7,128.00,9.80
0,4,8,136.00,44.54
0,4,9,132.00,39.19
1,0,0,124.00,14.97
1,0,1,128.00,9.80
1,0,2,124.00,14.97
1,0,3,120.00,33.47
1,0,4,148.00,20.40
1,0,5,124.00,23.32
1,0,6,132.00,41.18
1,0,7,136.00,8.00
1,0,8,148.00,43.08
1,0,9,144.00,26.53
1,1,0,92.00,27.13
1,1,1,88.00,27.13
1,1,2,136.00,23.32
1,1,3,80.00,21.91
1,1,4,152.00,20.40
1,1,5,112.00,43.08
1,1,6,136.00,29.39
1,1,7,112.00,29.93
1,1,8,128.00,34.87
1,1,9,136.00,14.97
1,2,0,116.00,23.32
1,2,1,116.00,29.39
1,2,2,136.00,38.78
1,2,3,108.00,39.19
1,2,4,128.00,43.08
1,2,5,96.00,46.30
1,2,6,144.00,26.53
1,2,7,140.00,17.89
1,2,8,148.00,27.13
1,2,9,172.00,34.87
1,3,0,124.00,49.64
1,3,1,100.00,33.47
1,3,2,116.00,34.41
1,3,3,112.00,16.00
1,3,4,144.00,32.00
1,3,5,148.00,9.80
1,3,6,128.00,20.40
1,3,7,148.00,20.40
1,3,8,128.00,32.50
1,3,9,144.00,14.97
1,4,0,164.00,14.97
1,4,1,116.00,23.32
1,4,2,136.00,38.78
1,4,3,124.00,36.66
1,4,4,152.00,29.93
1,4,5,100.00,63.25
1,4,6,164.00,23.32
1,4,7,132.00,41.18
1,4,8,144.00,38.78
1,4,9,128.00,34.87
