bc_pos,bc_seed,rl_seed,mean_reward,std_reward
0,0,0,68.00,27.13
0,0,1,32.00,16.00
0,0,2,96.00,32.00
0,0,3,104.00,29.39
0,0,4,72.00,24.00
0,0,5,72.00,20.40
0,0,6,84.00,42.71
0,0,7,104.00,19.60
0,0,8,64.00,29.39
0,0,9,76.00,23.32
0,1,0,68.00,20.40
0,1,1,24.00,19.60
0,1,2,96.00,23.32
0,1,3,76.00,8.00
0,1,4,68.00,32.50
0,1,5,76.00,8.00
0,1,6,108.00,29.93
0,1,7,84.00,23.32
0,1,8,56.00,23.32
0,1,9,76.00,14.97
0,2,0,56.00,23.32
0,2,1,40.00,17.89
0,2,2,76.00,23.32
0,2,3,76.00,23.32
0,2,4,60.00,41.95
0,2,5,76.00,14.97
0,2,6,68.00,16.00
0,2,7,84.00,23.32
0,2,8,32.00,27.13
0,2,9,64.00,23.32
0,3,0,52.00,9.80
0,3,1,28.00,24.00
0,3,2,80.00,40.00
0,3,3,88.00,9.80
0,3,4,88.00,29.93
0,3,5,72.00,9.80
0,3,6,100.00,17.89
0,3,7,64.00,19.60
0,3,8,60.00,17.89
0,3,9,60.00,12.65
0,4,0,88.00,20.40
0,4,1,28.00,16.00
0,4,2,116.00,23.32
0,4,3,88.00,20.40
0,4,4,96.00,19.60
0,4,5,80.00,12.65
0,4,6,68.00,20.40
0,4,7,60.00,33.47
0,4,8,48.00,24.00
0,4,9,64.00,14.97
1,0,0,104.00,8.00
1,0,1,52.00,9.80
1,0,2,84.00,44.54
1,0,3,52.00,46.65
1,0,4,44.00,23.32
1,0,5,80.00,17.89
1,0,6,96.00,14.97
1,0,7,96.00,23.32
1,0,8,80.00,21.91
1,0,9,52.00,29.93
1,1,0,64.00,14.97
1,1,1,48.00,20.40
1,1,2,88.00,27.13
1,1,3,52.00,16.00
1,1,4,72.00,29.93
1,1,5,88.00,29.93
1,1,6,84.00,23.32
1,1,7,92.00,16.00
1,1,8,84.00,23.32
1,1,9,68.00,9.80
1,2,0,68.00,27.13
1,2,1,36.00,14.97
1,2,2,96.00,8.00
1,2,3,72.00,44.90
1,2,4,64.00,14.97
1,2,5,68.00,16.00
1,2,6,84.00,46.30
1,2,7,76.00,29.39
1,2,8,44.00,14.97
1,2,9,44.00,34.41
1,3,0,72.00,16.00
1,3,1,52.00,16.00
1,3,2,72.00,20.40
1,3,3,68.00,37.09
1,3,4,92.00,29.93
1,3,5,68.00,27.13
1,3,6,76.00,23.32
1,3,7,100.00,12.65
1,3,8,60.00,28.28
1,3,9,56.00,14.97
1,4,0,72.00,16.00
1,4,1,44.00,23.32
1,4,2,80.00,28.28
1,4,3,92.00,16.00
1,4,4,52.00,32.50
1,4,5,84.00,14.97
1,4,6,88.00,16.00
1,4,7,76.00,29.39
1,4,8,44.00,34.41
1,4,9,64.00,23.32
