bc_pos,bc_seed,rl_seed,mean_reward,std_reward
0,0,0,136.00,40.79
0,0,1,144.00,52.76
0,0,2,168.00,27.13
0,0,3,152.00,20.40
0,0,4,176.00,8.00
0,0,5,152.00,9.80
0,0,6,96.00,34.41
0,0,7,160.00,25.30
0,0,8,180.00,12.65
0,0,9,88.00,54.55
0,1,0,132.00,34.87
0,1,1,128.00,20.40
0,1,2,152.00,34.87
0,1,3,136.00,34.41
0,1,4,172.00,9.80
0,1,5,164.00,19.60
0,1,6,124.00,26.53
0,1,7,132.00,32.50
0,1,8,176.00,14.97
0,1,9,132.00,44.90
0,2,0,96.00,38.78
0,2,1,172.00,16.00
0,2,2,148.00,44.90
0,2,3,112.00,58.79
0,2,4,136.00,63.75
0,2,5,128.00,48.33
0,2,6,44.00,38.78
0,2,7,100.00,57.97
0,2,8,116.00,55.71
0,2,9,84.00,34.41
0,3,0,144.00,46.30
0,3,1,116.00,44.54
0,3,2,124.00,38.78
0,3,3,128.00,53.07
0,3,4,156.00,38.78
0,3,5,180.00,12.65
0,3,6,160.00,21.91
0,3,7,116.00,58.51
0,3,8,160.00,25.30
0,3,9,120.00,37.95
0,4,0,124.00,49.64
0,4,1,140.00,48.99
0,4,2,140.00,40.00
0,4,3,160.00,52.15
0,4,4,164.00,32.00
0,4,5,168.00,16.00
0,4,6,160.00,30.98
0,4,7,136.00,29.39
0,4,8,140.00,21.91
0,4,9,116.00,63.75
1,0,0,160.00,28.28
1,0,1,152.00,41.18
1,0,2,168.00,27.13
1,0,3,124.00,38.78
1,0,4,196.00,8.00
1,0,5,180.00,30.98
1,0,6,192.00,16.00
1,0,7,168.00,27.13
1,0,8,192.00,16.00
1,0,9,160.00,41.95
1,1,0,152.00,29.93
1,1,1,160.00,17.89
1,1,2,112.00,29.93
1,1,3,112.00,48.33
1,1,4,152.00,32.50
1,1,5,164.00,23.32
1,1,6,192.00,20.40
1,1,7,128.00,46.65
1,1,8,160.00,35.78
1,1,9,152.00,41.18
1,2,0,160.00,21.91
1,2,1,188.00,16.00
1,2,2,144.00,19.60
1,2,3,144.00,29.39
1,2,4,144.00,26.53
1,2,5,180.00,12.65
1,2,6,200.00,0.00
1,2,7,128.00,16.00
1,2,8,168.00,37.09
1,2,9,152.00,49.96
1,3,0,156.00,42.71
1,3,1,184.00,8.00
1,3,2,168.00,20.40
1,3,3,140.00,28.28
1,3,4,172.00,29.93
1,3,5,160.00,61.97
1,3,6,184.00,14.97
1,3,7,148.00,56.00
1,3,8,176.00,14.97
1,3,9,156.00,19.60
1,4,0,156.00,26.53
1,4,1,164.00,8.00
1,4,2,120.00,43.82
1,4,3,144.00,34.41
1,4,4,180.00,21.91
1,4,5,180.00,12.65
1,4,6,176.00,14.97
1,4,7,156.00,52.76
1,4,8,164.00,23.32
1,4,9,160.00,25.30
