bc_pos,bc_seed,rl_seed,mean_reward,std_reward
0,0,0,48.00,9.80
0,0,1,24.00,14.97
0,0,2,48.00,16.00
0,0,3,52.00,27.13
0,0,4,72.00,16.00
0,0,5,16.00,14.97
0,0,6,28.00,16.00
0,0,7,52.00,16.00
0,0,8,32.00,16.00
0,0,9,52.00,9.80
0,1,0,36.00,19.60
0,1,1,36.00,14.97
0,1,2,20.00,12.65
0,1,3,28.00,16.00
0,1,4,56.00,23.32
0,1,5,12.00,24.00
0,1,6,32.00,9.80
0,1,7,8.00,9.80
0,1,8,20.00,12.65
0,1,9,48.00,16.00
0,2,0,64.00,14.97
0,2,1,20.00,12.65
0,2,2,48.00,9.80
0,2,3,52.00,20.40
0,2,4,52.00,9.80
0,2,5,12.00,16.00
0,2,6,40.00,12.65
0,2,7,40.00,0.00
0,2,8,32.00,27.13
0,2,9,48.00,16.00
0,3,0,24.00,14.97
0,3,1,28.00,9.80
0,3,2,20.00,17.89
0,3,3,8.00,16.00
0,3,4,40.00,28.28
0,3,5,4.00,8.00
0,3,6,16.00,14.97
0,3,7,32.00,16.00
0,3,8,24.00,19.60
0,3,9,28.00,9.80
0,4,0,36.00,19.60
0,4,1,20.00,17.89
0,4,2,32.00,20.40
0,4,3,8.00,9.80
0,4,4,32.00,20.40
0,4,5,8.00,9.80
0,4,6,20.00,12.65
0,4,7,44.00,19.60
0,4,8,8.00,9.80
0,4,9,28.00,20.40
1,0,0,56.00,32.00
1,0,1,44.00,23.32
1,0,2,44.00,23.32
1,0,3,8.00,9.80
1,0,4,20.00,17.89
1,0,5,16.00,19.60
1,0,6,24.00,23.32
1,0,7,20.00,17.89
1,0,8,20.00,17.89
1,0,9,32.00,16.00
1,1,0,28.00,24.00
1,1,1,32.00,41.18
1,1,2,40.00,25.30
1,1,3,20.00,21.91
1,1,4,16.00,14.97
1,1,5,48.00,29.93
1,1,6,32.00,20.40
1,1,7,40.00,25.30
1,1,8,12.00,9.80
1,1,9,40.00,21.91
1,2,0,60.00,37.95
1,2,1,40.00,33.47
1,2,2,52.00,24.00
1,2,3,12.00,16.00
1,2,4,20.00,21.91
1,2,5,52.00,39.19
1,2,6,24.00,14.97
1,2,7,56.00,23.32
1,2,8,36.00,19.60
1,2,9,32.00,9.80
1,3,0,32.00,9.80
1,3,1,32.00,41.18
1,3,2,28.00,20.40
1,3,3,28.00,29.93
1,3,4,12.00,16.00
1,3,5,16.00,32.00
1,3,6,24.00,19.60
1,3,7,48.00,20.40
1,3,8,24.00,14.97
1,3,9,32.00,16.00
1,4,0,32.00,16.00
1,4,1,52.00,27.13
1,4,2,36.00,23.32
1,4,3,20.00,17.89
1,4,4,8.00,16.00
1,4,5,0.00,0.00
1,4,6,16.00,8.00
1,4,7,20.00,12.65
1,4,8,16.00,14.97
1,4,9,32.00,20.40
