bc_pos,bc_seed,rl_seed,mean_reward,std_reward
0,0,0,16.00,19.60
0,0,1,20.00,17.89
0,0,2,48.00,24.00
0,0,3,64.00,88.90
0,0,4,32.00,20.40
0,0,5,8.00,16.00
0,0,6,48.00,37.09
0,0,7,4.00,8.00
0,0,8,60.00,63.25
0,0,9,32.00,44.90
0,1,0,76.00,61.19
0,1,1,68.00,37.09
0,1,2,36.00,44.54
0,1,3,76.00,103.07
0,1,4,28.00,24.00
0,1,5,28.00,37.09
0,1,6,36.00,34.41
0,1,7,24.00,38.78
0,1,8,60.00,75.89
0,1,9,80.00,52.15
0,2,0,80.00,71.55
0,2,1,32.00,32.50
0,2,2,56.00,61.19
0,2,3,48.00,37.09
0,2,4,24.00,29.39
0,2,5,40.00,33.47
0,2,6,60.00,43.82
0,2,7,64.00,63.75
0,2,8,80.00,65.73
0,2,9,44.00,40.79
0,3,0,12.00,16.00
0,3,1,24.00,32.00
0,3,2,20.00,17.89
0,3,3,60.00,92.95
0,3,4,28.00,56.00
0,3,5,44.00,57.13
0,3,6,104.00,103.85
0,3,7,40.00,41.95
0,3,8,36.00,23.32
0,3,9,72.00,80.60
0,4,0,80.00,59.33
0,4,1,68.00,54.55
0,4,2,60.00,60.66
0,4,3,88.00,54.55
0,4,4,120.00,37.95
0,4,5,100.00,82.95
0,4,6,96.00,38.78
0,4,7,124.00,36.66
0,4,8,36.00,36.66
0,4,9,112.00,61.45
1,0,0,280.00,35.78
1,0,1,304.00,38.78
1,0,2,288.00,16.00
1,0,3,316.00,23.32
1,0,4,208.00,64.00
1,0,5,240.00,59.33
1,0,6,272.00,27.13
1,0,7,284.00,14.97
1,0,8,284.00,44.54
1,0,9,196.00,70.88
1,1,0,216.00,49.64
1,1,1,256.00,14.97
1,1,2,236.00,26.53
1,1,3,260.00,12.65
1,1,4,224.00,59.87
1,1,5,240.00,21.91
1,1,6,212.00,46.65
1,1,7,236.00,23.32
1,1,8,252.00,16.00
1,1,9,220.00,28.28
1,2,0,216.00,52.76
1,2,1,208.00,105.53
1,2,2,216.00,55.71
1,2,3,260.00,35.78
1,2,4,172.00,54.55
1,2,5,184.00,54.26
1,2,6,212.00,78.59
1,2,7,252.00,29.93
1,2,8,200.00,65.73
1,2,9,196.00,26.53
1,3,0,268.00,24.00
1,3,1,236.00,68.59
1,3,2,256.00,36.66
1,3,3,272.00,20.40
1,3,4,268.00,27.13
1,3,5,272.00,41.18
1,3,6,272.00,20.40
1,3,7,236.00,40.79
1,3,8,292.00,32.50
1,3,9,240.00,21.91
1,4,0,264.00,26.53
1,4,1,220.00,99.60
1,4,2,228.00,74.40
1,4,3,276.00,49.64
1,4,4,224.00,52.76
1,4,5,272.00,24.00
1,4,6,236.00,81.39
1,4,7,248.00,34.87
1,4,8,268.00,20.40
1,4,9,180.00,37.95
