bc_pos,bc_seed,rl_seed,mean_reward,std_reward
0,0,0,48.00,41.18
0,0,1,40.00,45.61
0,0,2,24.00,29.39
0,0,3,36.00,14.97
0,0,4,28.00,20.40
0,0,5,84.00,54.26
0,0,6,16.00,14.97
0,0,7,36.00,19.60
0,0,8,56.00,68.59
0,0,9,64.00,55.71
0,1,0,32.00,29.93
0,1,1,48.00,29.93
0,1,2,20.00,25.30
0,1,3,32.00,27.13
0,1,4,52.00,43.08
0,1,5,32.00,27.13
0,1,6,60.00,40.00
0,1,7,40.00,25.30
0,1,8,60.00,37.95
0,1,9,68.00,53.07
0,2,0,88.00,44.90
0,2,1,24.00,23.32
0,2,2,36.00,26.53
0,2,3,60.00,52.15
0,2,4,36.00,34.41
0,2,5,96.00,29.39
0,2,6,68.00,49.96
0,2,7,68.00,27.13
0,2,8,24.00,14.97
0,2,9,72.00,37.09
0,3,0,64.00,55.71
0,3,1,48.00,57.41
0,3,2,12.00,16.00
0,3,3,28.00,20.40
0,3,4,28.00,27.13
0,3,5,52.00,49.96
0,3,6,32.00,37.09
0,3,7,64.00,55.71
0,3,8,44.00,29.39
0,3,9,24.00,19.60
0,4,0,72.00,54.55
0,4,1,36.00,54.26
0,4,2,60.00,35.78
0,4,3,96.00,63.75
0,4,4,56.00,44.54
0,4,5,76.00,26.53
0,4,6,64.00,32.00
0,4,7,36.00,23.32
0,4,8,28.00,16.00
0,4,9,40.00,33.47
1,0,0,40.00,37.95
1,0,1,60.00,65.73
1,0,2,24.00,32.00
1,0,3,60.00,45.61
1,0,4,16.00,14.97
1,0,5,36.00,32.00
1,0,6,76.00,49.64
1,0,7,24.00,23.32
1,0,8,64.00,14.97
1,0,9,36.00,23.32
1,1,0,32.00,16.00
1,1,1,40.00,33.47
1,1,2,32.00,29.93
1,1,3,24.00,29.39
1,1,4,12.00,16.00
1,1,5,32.00,9.80
1,1,6,24.00,32.00
1,1,7,80.00,48.99
1,1,8,20.00,21.91
1,1,9,40.00,17.89
1,2,0,88.00,43.08
1,2,1,64.00,51.22
1,2,2,52.00,27.13
1,2,3,80.00,48.99
1,2,4,40.00,50.60
1,2,5,48.00,41.18
1,2,6,92.00,37.09
1,2,7,56.00,38.78
1,2,8,48.00,44.90
1,2,9,44.00,29.39
1,3,0,20.00,17.89
1,3,1,60.00,50.60
1,3,2,44.00,23.32
1,3,3,52.00,49.96
1,3,4,20.00,30.98
1,3,5,44.00,29.39
1,3,6,48.00,24.00
1,3,7,40.00,21.91
1,3,8,44.00,23.32
1,3,9,44.00,32.00
1,4,0,36.00,23.32
1,4,1,72.00,27.13
1,4,2,64.00,29.39
1,4,3,124.00,52.76
1,4,4,84.00,48.00
1,4,5,72.00,43.08
1,4,6,44.00,32.00
1,4,7,52.00,44.90
1,4,8,56.00,52.76
1,4,9,32.00,37.09
