bc_pos,bc_seed,rl_seed,mean_reward,std_reward
0,0,0,8.00,9.80
0,0,1,20.00,12.65
0,0,2,20.00,17.89
0,0,3,8.00,9.80
0,0,4,72.00,24.00
0,0,5,20.00,25.30
0,0,6,52.00,43.08
0,0,7,68.00,9.80
0,0,8,24.00,14.97
0,0,9,76.00,23.32
0,1,0,12.00,16.00
0,1,1,16.00,19.60
0,1,2,16.00,8.00
0,1,3,36.00,23.32
0,1,4,32.00,16.00
0,1,5,0.00,0.00
0,1,6,64.00,32.00
0,1,7,40.00,17.89
0,1,8,36.00,23.32
0,1,9,72.00,27.13
0,2,0,12.00,9.80
0,2,1,12.00,9.80
0,2,2,24.00,23.32
0,2,3,36.00,23.32
0,2,4,72.00,27.13
0,2,5,0.00,0.00
0,2,6,60.00,21.91
0,2,7,88.00,27.13
0,2,8,24.00,19.60
0,2,9,52.00,37.09
0,3,0,4.00,8.00
0,3,1,8.00,9.80
0,3,2,12.00,9.80
0,3,3,36.00,38.78
0,3,4,84.00,8.00
0,3,5,20.00,12.65
0,3,6,68.00,27.13
0,3,7,64.00,19.60
0,3,8,12.00,24.00
0,3,9,92.00,27.13
0,4,0,4.00,8.00
0,4,1,12.00,9.80
0,4,2,12.00,16.00
0,4,3,32.00,16.00
0,4,4,44.00,23.32
0,4,5,8.00,16.00
0,4,6,60.00,33.47
0,4,7,56.00,36.66
0,4,8,8.00,16.00
0,4,9,64.00,36.66
1,0,0,12.00,9.80
1,0,1,12.00,24.00
1,0,2,12.00,16.00
1,0,3,36.00,32.00
1,0,4,28.00,37.09
1,0,5,4.00,8.00
1,0,6,52.00,32.50
1,0,7,56.00,14.97
1,0,8,24.00,23.32
1,0,9,36.00,23.32
1,1,0,8.00,9.80
1,1,1,28.00,16.00
1,1,2,16.00,14.97
1,1,3,28.00,20.40
1,1,4,36.00,26.53
1,1,5,4.00,8.00
1,1,6,52.00,20.40
1,1,7,72.00,9.80
1,1,8,32.00,9.80
1,1,9,60.00,21.91
1,2,0,4.00,8.00
1,2,1,16.00,14.97
1,2,2,24.00,8.00
1,2,3,28.00,24.00
1,2,4,24.00,23.32
1,2,5,0.00,0.00
1,2,6,68.00,41.18
1,2,7,32.00,9.80
1,2,8,20.00,30.98
1,2,9,80.00,25.30
1,3,0,16.00,32.00
1,3,1,20.00,12.65
1,3,2,8.00,9.80
1,3,3,36.00,29.39
1,3,4,52.00,37.09
1,3,5,28.00,16.00
1,3,6,68.00,27.13
1,3,7,60.00,17.89
1,3,8,20.00,25.30
1,3,9,80.00,17.89
1,4,0,0.00,0.00
1,4,1,8.00,9.80
1,4,2,32.00,24.00
1,4,3,28.00,20.40
1,4,4,68.00,49.96
1,4,5,12.00,16.00
1,4,6,68.00,32.50
1,4,7,64.00,26.53
1,4,8,32.00,16.00
1,4,9,52.00,46.65
