bc_pos,bc_seed,rl_seed,mean_reward,std_reward
0,0,0,140.00,40.00
0,0,1,164.00,14.97
0,0,2,124.00,14.97
0,0,3,136.00,34.41
0,0,4,144.00,23.32
0,0,5,140.00,33.47
0,0,6,148.00,20.40
0,0,7,128.00,54.55
0,0,8,140.00,35.78
0,0,9,156.00,32.00
0,1,0,152.00,29.93
0,1,1,132.00,41.18
0,1,2,120.00,35.78
0,1,3,96.00,55.71
0,1,4,96.00,23.32
0,1,5,72.00,27.13
0,1,6,124.00,23.32
0,1,7,116.00,36.66
0,1,8,76.00,23.32
0,1,9,152.00,37.09
0,2,0,92.00,51.54
0,2,1,136.00,40.79
0,2,2,112.00,56.00
0,2,3,116.00,8.00
0,2,4,124.00,32.00
0,2,5,68.00,41.18
0,2,6,136.00,40.79
0,2,7,140.00,30.98
0,2,8,148.00,27.13
0,2,9,88.00,53.07
0,3,0,124.00,46.30
0,3,1,160.00,33.47
0,3,2,120.00,50.60
0,3,3,152.00,41.18
0,3,4,112.00,44.90
0,3,5,120.00,52.15
0,3,6,120.00,33.47
0,3,7,140.00,17.89
0,3,8,156.00,23.32
0,3,9,152.00,44.90
0,4,0,136.00,14.97
0,4,1,144.00,46.30
0,4,2,108.00,39.19
0,4,3,128.00,51.54
0,4,4,124.00,29.39
0,4,5,112.00,44.90
0,4,6,144.00,14.97
0,4,7,148.00,27.13
0,4,8,148.00,39.19
0,4,9,132.00,51.54
1,0,0,136.00,29.39
1,0,1,160.00,40.00
1,0,2,108.00,20.40
1,0,3,136.00,49.64
1,0,4,108.00,29.93
1,0,5,156.00,34.41
1,0,6,148.00,32.50
1,0,7,116.00,40.79
1,0,8,156.00,23.32
1,0,9,160.00,28.28
1,1,0,160.00,17.89
1,1,1,176.00,23.32
1,1,2,112.00,54.55
1,1,3,136.00,29.39
1,1,4,88.00,41.18
1,1,5,156.00,23.32
1,1,6,124.00,19.60
1,1,7,128.00,20.40
1,1,8,152.00,34.87
1,1,9,164.00,34.41
1,2,0,180.00,0.00
1,2,1,168.00,44.90
1,2,2,100.00,57.97
1,2,3,156.00,29.39
1,2,4,120.00,37.95
1,2,5,164.00,29.39
1,2,6,128.00,48.33
1,2,7,92.00,56.00
1,2,8,128.00,41.18
1,2,9,184.00,19.60
1,3,0,176.00,29.39
1,3,1,164.00,32.00
1,3,2,120.00,21.91
1,3,3,152.00,29.93
1,3,4,128.00,48.33
1,3,5,152.00,27.13
1,3,6,156.00,32.00
1,3,7,88.00,29.93
1,3,8,176.00,34.41
1,3,9,152.00,49.96
1,4,0,156.00,34.41
1,4,1,148.00,27.13
1,4,2,76.00,26.53
1,4,3,116.00,49.64
1,4,4,76.00,23.32
1,4,5,136.00,40.79
1,4,6,116.00,40.79
1,4,7,140.00,35.78
1,4,8,148.00,27.13
1,4,9,148.00,27.13
