bc_pos,bc_seed,rl_seed,mean_reward,std_reward
0,0,0,24.00,23.32
0,0,1,44.00,19.60
0,0,2,36.00,29.39
0,0,3,28.00,29.93
0,0,4,48.00,9.80
0,0,5,52.00,20.40
0,0,6,44.00,14.97
0,0,7,32.00,16.00
0,0,8,56.00,29.39
0,0,9,44.00,19.60
0,1,0,16.00,23.32
0,1,1,24.00,14.97
0,1,2,28.00,16.00
0,1,3,24.00,19.60
0,1,4,16.00,14.97
0,1,5,44.00,32.00
0,1,6,16.00,14.97
0,1,7,24.00,14.97
0,1,8,20.00,17.89
0,1,9,8.00,9.80
0,2,0,48.00,16.00
0,2,1,56.00,14.97
0,2,2,36.00,19.60
0,2,3,24.00,29.39
0,2,4,40.00,28.28
0,2,5,44.00,14.97
0,2,6,36.00,8.00
0,2,7,32.00,20.40
0,2,8,28.00,27.13
0,2,9,60.00,28.28
0,3,0,56.00,14.97
0,3,1,40.00,12.65
0,3,2,40.00,0.00
0,3,3,52.00,9.80
0,3,4,24.00,14.97
0,3,5,36.00,36.66
0,3,6,20.00,17.89
0,3,7,28.00,16.00
0,3,8,60.00,21.91
0,3,9,44.00,23.32
0,4,0,12.00,16.00
0,4,1,16.00,14.97
0,4,2,24.00,23.32
0,4,3,12.00,9.80
0,4,4,20.00,12.65
0,4,5,24.00,14.97
0,4,6,20.00,17.89
0,4,7,20.00,17.89
0,4,8,16.00,8.00
0,4,9,8.00,9.80
1,0,0,8.00,9.80
1,0,1,24.00,23.32
1,0,2,44.00,23.32
1,0,3,24.00,14.97
1,0,4,20.00,12.65
1,0,5,16.00,8.00
1,0,6,28.00,9.80
1,0,7,32.00,27.13
1,0,8,24.00,14.97
1,0,9,24.00,14.97
1,1,0,36.00,14.97
1,1,1,28.00,16.00
1,1,2,16.00,8.00
1,1,3,20.00,17.89
1,1,4,28.00,20.40
1,1,5,12.00,9.80
1,1,6,16.00,14.97
1,1,7,20.00,30.98
1,1,8,28.00,27.13
1,1,9,40.00,37.95
1,2,0,8.00,9.80
1,2,1,12.00,9.80
1,2,2,12.00,16.00
1,2,3,20.00,12.65
1,2,4,28.00,27.13
1,2,5,24.00,14.97
1,2,6,36.00,26.53
1,2,7,32.00,34.87
1,2,8,28.00,27.13
1,2,9,24.00,19.60
1,3,0,8.00,9.80
1,3,1,12.00,9.80
1,3,2,32.00,20.40
1,3,3,28.00,20.40
1,3,4,20.00,12.65
1,3,5,28.00,16.00
1,3,6,28.00,29.93
1,3,7,28.00,24.00
1,3,8,48.00,9.80
1,3,9,32.00,16.00
1,4,0,16.00,14.97
1,4,1,8.00,16.00
1,4,2,28.00,16.00
1,4,3,32.00,9.80
1,4,4,24.00,23.32
1,4,5,20.00,12.65
1,4,6,16.00,14.97
1,4,7,12.00,9.80
1,4,8,8.00,9.80
1,4,9,12.00,9.80
