bc_pos,bc_seed,rl_seed,mean_reward,std_reward
0,0,0,12.00,16.00
0,0,1,28.00,16.00
0,0,2,0.00,0.00
0,0,3,4.00,8.00
0,0,4,8.00,16.00
0,0,5,8.00,16.00
0,0,6,0.00,0.00
0,0,7,8.00,9.80
0,0,8,0.00,0.00
0,0,9,24.00,29.39
0,1,0,16.00,23.32
0,1,1,8.00,9.80
0,1,2,20.00,25.30
0,1,3,16.00,19.60
0,1,4,12.00,16.00
0,1,5,4.00,8.00
0,1,6,8.00,16.00
0,1,7,4.00,8.00
0,1,8,12.00,16.00
0,1,9,8.00,9.80
0,2,0,0.00,0.00
0,2,1,8.00,9.80
0,2,2,4.00,8.00
0,2,3,12.00,16.00
0,2,4,4.00,8.00
0,2,5,4.00,8.00
0,2,6,4.00,8.00
0,2,7,8.00,9.80
0,2,8,12.00,24.00
0,2,9,16.00,14.97
0,3,0,12.00,24.00
0,3,1,16.00,19.60
0,3,2,4.00,8.00
0,3,3,12.00,9.80
0,3,4,0.00,0.00
0,3,5,24.00,38.78
0,3,6,8.00,9.80
0,3,7,4.00,8.00
0,3,8,0.00,0.00
0,3,9,28.00,20.40
0,4,0,16.00,19.60
0,4,1,24.00,29.39
0,4,2,8.00,9.80
0,4,3,20.00,12.65
0,4,4,12.00,24.00
0,4,5,24.00,14.97
0,4,6,28.00,29.93
0,4,7,8.00,9.80
0,4,8,12.00,16.00
0,4,9,20.00,30.98
1,0,0,0.00,0.00
1,0,1,100.00,55.14
1,0,2,44.00,23.32
1,0,3,216.00,87.09
1,0,4,124.00,76.32
1,0,5,4.00,8.00
1,0,6,24.00,14.97
1,0,7,40.00,17.89
1,0,8,204.00,36.66
1,0,9,0.00,0.00
1,1,0,32.00,9.80
1,1,1,52.00,24.00
1,1,2,116.00,58.51
1,1,3,148.00,48.33
1,1,4,204.00,72.00
1,1,5,20.00,17.89
1,1,6,76.00,58.51
1,1,7,132.00,43.08
1,1,8,148.00,62.74
1,1,9,44.00,14.97
1,2,0,4.00,8.00
1,2,1,36.00,14.97
1,2,2,88.00,27.13
1,2,3,224.00,38.78
1,2,4,160.00,48.99
1,2,5,20.00,21.91
1,2,6,40.00,41.95
1,2,7,44.00,38.78
1,2,8,188.00,24.00
1,2,9,16.00,32.00
1,3,0,24.00,23.32
1,3,1,124.00,57.13
1,3,2,124.00,34.41
1,3,3,200.00,68.12
1,3,4,176.00,64.99
1,3,5,20.00,17.89
1,3,6,92.00,64.00
1,3,7,76.00,8.00
1,3,8,132.00,72.22
1,3,9,48.00,16.00
1,4,0,8.00,9.80
1,4,1,100.00,81.98
1,4,2,76.00,46.30
1,4,3,180.00,63.25
1,4,4,176.00,55.71
1,4,5,32.00,46.65
1,4,6,80.00,50.60
1,4,7,76.00,32.00
1,4,8,68.00,54.55
1,4,9,48.00,34.87
