bc_pos,bc_seed,rl_seed,mean_reward,std_reward
0,0,0,56.00,19.60
0,0,1,72.00,27.13
0,0,2,104.00,23.32
0,0,3,76.00,34.41
0,0,4,28.00,9.80
0,0,5,56.00,19.60
0,0,6,56.00,34.41
0,0,7,40.00,21.91
0,0,8,48.00,20.40
0,0,9,36.00,26.53
0,1,0,72.00,20.40
0,1,1,56.00,23.32
0,1,2,104.00,23.32
0,1,3,76.00,29.39
0,1,4,32.00,20.40
0,1,5,44.00,29.39
0,1,6,88.00,9.80
0,1,7,36.00,14.97
0,1,8,76.00,19.60
0,1,9,32.00,9.80
0,2,0,44.00,23.32
0,2,1,64.00,34.41
0,2,2,84.00,14.97
0,2,3,68.00,16.00
0,2,4,40.00,12.65
0,2,5,72.00,41.18
0,2,6,72.00,29.93
0,2,7,56.00,14.97
0,2,8,52.00,20.40
0,2,9,48.00,20.40
0,3,0,64.00,23.32
0,3,1,52.00,34.87
0,3,2,68.00,39.19
0,3,3,64.00,36.66
0,3,4,44.00,23.32
0,3,5,56.00,48.00
0,3,6,68.00,24.00
0,3,7,60.00,30.98
0,3,8,48.00,48.33
0,3,9,48.00,16.00
0,4,0,40.00,25.30
0,4,1,48.00,27.13
0,4,2,80.00,12.65
0,4,3,68.00,16.00
0,4,4,20.00,12.65
0,4,5,28.00,20.40
0,4,6,68.00,27.13
0,4,7,48.00,27.13
0,4,8,76.00,8.00
0,4,9,32.00,20.40
1,0,0,60.00,35.78
1,0,1,88.00,24.00
1,0,2,104.00,14.97
1,0,3,84.00,23.32
1,0,4,64.00,46.30
1,0,5,32.00,20.40
1,0,6,80.00,41.95
1,0,7,40.00,25.30
1,0,8,76.00,14.97
1,0,9,40.00,37.95
1,1,0,92.00,16.00
1,1,1,68.00,9.80
1,1,2,104.00,23.32
1,1,3,84.00,32.00
1,1,4,32.00,29.93
1,1,5,80.00,33.47
1,1,6,104.00,14.97
1,1,7,44.00,34.41
1,1,8,56.00,29.39
1,1,9,12.00,9.80
1,2,0,60.00,12.65
1,2,1,84.00,14.97
1,2,2,108.00,16.00
1,2,3,60.00,33.47
1,2,4,12.00,16.00
1,2,5,52.00,20.40
1,2,6,96.00,14.97
1,2,7,16.00,19.60
1,2,8,80.00,35.78
1,2,9,20.00,12.65
1,3,0,96.00,14.97
1,3,1,56.00,19.60
1,3,2,96.00,8.00
1,3,3,104.00,14.97
1,3,4,24.00,8.00
1,3,5,36.00,29.39
1,3,6,80.00,17.89
1,3,7,20.00,17.89
1,3,8,60.00,28.28
1,3,9,28.00,29.93
1,4,0,88.00,29.93
1,4,1,116.00,19.60
1,4,2,140.00,21.91
1,4,3,96.00,14.97
1,4,4,56.00,19.60
1,4,5,48.00,32.50
1,4,6,120.00,21.91
1,4,7,36.00,26.53
1,4,8,88.00,32.50
1,4,9,8.00,9.80
