bc_pos,bc_seed,rl_seed,mean_reward,std_reward
0,0,0,0.00,0.00
0,0,1,36.00,32.00
0,0,2,88.00,16.00
0,0,3,88.00,20.40
0,0,4,60.00,17.89
0,0,5,68.00,32.50
0,0,6,20.00,12.65
0,0,7,36.00,14.97
0,0,8,80.00,12.65
0,0,9,56.00,23.32
0,1,0,8.00,16.00
0,1,1,52.00,9.80
0,1,2,64.00,8.00
0,1,3,104.00,14.97
0,1,4,60.00,17.89
0,1,5,76.00,14.97
0,1,6,32.00,9.80
0,1,7,60.00,0.00
0,1,8,48.00,20.40
0,1,9,68.00,27.13
0,2,0,0.00,0.00
0,2,1,48.00,16.00
0,2,2,56.00,23.32
0,2,3,72.00,9.80
0,2,4,64.00,14.97
0,2,5,64.00,14.97
0,2,6,48.00,20.40
0,2,7,64.00,14.97
0,2,8,52.00,20.40
0,2,9,76.00,8.00
0,3,0,4.00,8.00
0,3,1,48.00,20.40
0,3,2,60.00,17.89
0,3,3,68.00,20.40
0,3,4,80.00,21.91
0,3,5,52.00,16.00
0,3,6,40.00,12.65
0,3,7,72.00,9.80
0,3,8,56.00,8.00
0,3,9,56.00,14.97
0,4,0,4.00,8.00
0,4,1,28.00,20.40
0,4,2,40.00,12.65
0,4,3,76.00,23.32
0,4,4,40.00,12.65
0,4,5,80.00,25.30
0,4,6,52.00,16.00
0,4,7,72.00,20.40
0,4,8,72.00,27.13
0,4,9,68.00,16.00
1,0,0,4.00,8.00
1,0,1,72.00,27.13
1,0,2,84.00,19.60
1,0,3,72.00,27.13
1,0,4,52.00,41.18
1,0,5,80.00,33.47
1,0,6,48.00,29.93
1,0,7,80.00,33.47
1,0,8,56.00,8.00
1,0,9,64.00,23.32
1,1,0,4.00,8.00
1,1,1,60.00,35.78
1,1,2,48.00,44.90
1,1,3,104.00,19.60
1,1,4,92.00,29.93
1,1,5,96.00,23.32
1,1,6,52.00,27.13
1,1,7,96.00,14.97
1,1,8,56.00,34.41
1,1,9,72.00,20.40
1,2,0,0.00,0.00
1,2,1,60.00,25.30
1,2,2,52.00,46.65
1,2,3,52.00,43.08
1,2,4,76.00,29.39
1,2,5,76.00,29.39
1,2,6,52.00,32.50
1,2,7,68.00,44.90
1,2,8,104.00,32.00
1,2,9,84.00,44.54
1,3,0,16.00,8.00
1,3,1,72.00,20.40
1,3,2,92.00,24.00
1,3,3,76.00,29.39
1,3,4,88.00,32.50
1,3,5,96.00,14.97
1,3,6,64.00,23.32
1,3,7,64.00,23.32
1,3,8,80.00,33.47
1,3,9,92.00,9.80
1,4,0,24.00,8.00
1,4,1,80.00,21.91
1,4,2,56.00,36.66
1,4,3,72.00,27.13
1,4,4,76.00,29.39
1,4,5,64.00,23.32
1,4,6,60.00,25.30
1,4,7,60.00,33.47
1,4,8,88.00,16.00
1,4,9,76.00,40.79
