bc_pos,bc_seed,rl_seed,mean_reward,std_reward
0,0,0,84.00,34.41
0,0,1,128.00,16.00
0,0,2,76.00,34.41
0,0,3,92.00,16.00
0,0,4,148.00,9.80
0,0,5,84.00,14.97
0,0,6,128.00,16.00
0,0,7,128.00,20.40
0,0,8,112.00,27.13
0,0,9,100.00,41.95
0,1,0,96.00,23.32
0,1,1,116.00,23.32
0,1,2,120.00,21.91
0,1,3,104.00,14.97
0,1,4,72.00,39.19
0,1,5,92.00,27.13
0,1,6,120.00,28.28
0,1,7,120.00,35.78
0,1,8,124.00,8.00
0,1,9,132.00,9.80
0,2,0,84.00,14.97
0,2,1,96.00,19.60
0,2,2,132.00,54.55
0,2,3,108.00,32.50
0,2,4,92.00,43.08
0,2,5,96.00,32.00
0,2,6,120.00,33.47
0,2,7,104.00,52.76
0,2,8,96.00,40.79
0,2,9,148.00,9.80
0,3,0,92.00,24.00
0,3,1,116.00,32.00
0,3,2,152.00,9.80
0,3,3,120.00,12.65
0,3,4,68.00,29.93
0,3,5,80.00,43.82
0,3,6,104.00,46.30
0,3,7,116.00,26.53
0,3,8,120.00,17.89
0,3,9,104.00,23.32
0,4,0,96.00,8.00
0,4,1,104.00,40.79
0,4,2,128.00,27.13
0,4,3,108.00,24.00
0,4,4,116.00,29.39
0,4,5,76.00,29.39
0,4,6,128.00,20.40
0,4,7,100.00,35.78
0,4,8,112.00,24.00
0,4,9,152.00,34.87
1,0,0,148.00,20.40
1,0,1,176.00,14.97
1,0,2,168.00,20.40
1,0,3,184.00,14.97
1,0,4,160.00,12.65
1,0,5,132.00,39.19
1,0,6,164.00,14.97
1,0,7,128.00,65.24
1,0,8,168.00,9.80
1,0,9,184.00,14.97
1,1,0,128.00,16.00
1,1,1,140.00,33.47
1,1,2,148.00,44.90
1,1,3,176.00,14.97
1,1,4,132.00,56.00
1,1,5,116.00,26.53
1,1,6,116.00,34.41
1,1,7,140.00,17.89
1,1,8,132.00,27.13
1,1,9,164.00,8.00
1,2,0,152.00,20.40
1,2,1,116.00,42.71
1,2,2,152.00,39.19
1,2,3,156.00,23.32
1,2,4,152.00,29.93
1,2,5,148.00,9.80
1,2,6,132.00,27.13
1,2,7,132.00,9.80
1,2,8,164.00,23.32
1,2,9,136.00,29.39
1,3,0,156.00,14.97
1,3,1,148.00,24.00
1,3,2,152.00,9.80
1,3,3,176.00,8.00
1,3,4,180.00,12.65
1,3,5,156.00,23.32
1,3,6,152.00,27.13
1,3,7,160.00,12.65
1,3,8,152.00,27.13
1,3,9,180.00,17.89
1,4,0,148.00,27.13
1,4,1,156.00,14.97
1,4,2,172.00,20.40
1,4,3,172.00,20.40
1,4,4,156.00,34.41
1,4,5,152.00,16.00
1,4,6,136.00,49.64
1,4,7,140.00,12.65
1,4,8,136.00,29.39
1,4,9,176.00,23.32
