bc_pos,bc_seed,rl_seed,mean_reward,std_reward
0,0,0,0.00,0.00
0,0,1,0.00,0.00
0,0,2,0.00,0.00
0,0,3,0.00,0.00
0,0,4,0.00,0.00
0,0,5,4.00,8.00
0,0,6,0.00,0.00
0,0,7,0.00,0.00
0,0,8,4.00,8.00
0,0,9,0.00,0.00
0,1,0,0.00,0.00
0,1,1,0.00,0.00
0,1,2,0.00,0.00
0,1,3,0.00,0.00
0,1,4,0.00,0.00
0,1,5,0.00,0.00
0,1,6,0.00,0.00
0,1,7,8.00,9.80
0,1,8,0.00,0.00
0,1,9,0.00,0.00
0,2,0,0.00,0.00
0,2,1,0.00,0.00
0,2,2,0.00,0.00
0,2,3,0.00,0.00
0,2,4,0.00,0.00
0,2,5,0.00,0.00
0,2,6,0.00,0.00
0,2,7,0.00,0.00
0,2,8,0.00,0.00
0,2,9,0.00,0.00
0,3,0,0.00,0.00
0,3,1,0.00,0.00
0,3,2,0.00,0.00
0,3,3,0.00,0.00
0,3,4,0.00,0.00
0,3,5,0.00,0.00
0,3,6,0.00,0.00
0,3,7,0.00,0.00
0,3,8,0.00,0.00
0,3,9,0.00,0.00
0,4,0,0.00,0.00
0,4,1,0.00,0.00
0,4,2,0.00,0.00
0,4,3,0.00,0.00
0,4,4,0.00,0.00
0,4,5,4.00,8.00
0,4,6,0.00,0.00
0,4,7,0.00,0.00
0,4,8,0.00,0.00
0,4,9,0.00,0.00
1,0,0,56.00,36.66
1,0,1,16.00,14.97
1,0,2,32.00,27.13
1,0,3,8.00,9.80
1,0,4,20.00,21.91
1,0,5,48.00,16.00
1,0,6,16.00,14.97
1,0,7,16.00,23.32
1,0,8,12.00,16.00
1,0,9,20.00,17.89
1,1,0,16.00,14.97
1,1,1,28.00,16.00
1,1,2,32.00,20.40
1,1,3,24.00,14.97
1,1,4,36.00,14.97
1,1,5,24.00,19.60
1,1,6,32.00,27.13
1,1,7,12.00,9.80
1,1,8,4.00,8.00
1,1,9,12.00,16.00
1,2,0,24.00,23.32
1,2,1,16.00,8.00
1,2,2,24.00,19.60
1,2,3,16.00,19.60
1,2,4,8.00,9.80
1,2,5,24.00,19.60
1,2,6,24.00,23.32
1,2,7,32.00,27.13
1,2,8,12.00,9.80
1,2,9,40.00,35.78
1,3,0,16.00,14.97
1,3,1,32.00,9.80
1,3,2,36.00,14.97
1,3,3,16.00,23.32
1,3,4,32.00,24.00
1,3,5,20.00,12.65
1,3,6,4.00,8.00
1,3,7,24.00,23.32
1,3,8,16.00,19.60
1,3,9,24.00,19.60
1,4,0,16.00,8.00
1,4,1,8.00,9.80
1,4,2,8.00,16.00
1,4,3,0.00,0.00
1,4,4,16.00,19.60
1,4,5,24.00,14.97
1,4,6,28.00,29.93
1,4,7,24.00,23.32
1,4,8,4.00,8.00
1,4,9,24.00,29.39
