bc_pos,bc_seed,rl_seed,mean_reward,std_reward
0,0,0,8.00,16.00
0,0,1,8.00,16.00
0,0,2,0.00,0.00
0,0,3,80.00,35.78
0,0,4,28.00,37.09
0,0,5,12.00,24.00
0,0,6,100.00,33.47
0,0,7,0.00,0.00
0,0,8,32.00,29.93
0,0,9,24.00,23.32
0,1,0,56.00,34.41
0,1,1,4.00,8.00
0,1,2,4.00,8.00
0,1,3,52.00,37.09
0,1,4,52.00,32.50
0,1,5,16.00,19.60
0,1,6,72.00,37.09
0,1,7,8.00,9.80
0,1,8,40.00,41.95
0,1,9,16.00,19.60
0,2,0,24.00,19.60
0,2,1,8.00,16.00
0,2,2,4.00,8.00
0,2,3,52.00,24.00
0,2,4,32.00,29.93
0,2,5,16.00,19.60
0,2,6,120.00,21.91
0,2,7,8.00,16.00
0,2,8,28.00,27.13
0,2,9,48.00,27.13
0,3,0,16.00,14.97
0,3,1,20.00,17.89
0,3,2,20.00,21.91
0,3,3,52.00,34.87
0,3,4,40.00,45.61
0,3,5,24.00,23.32
0,3,6,80.00,45.61
0,3,7,8.00,9.80
0,3,8,28.00,29.93
0,3,9,12.00,16.00
0,4,0,24.00,14.97
0,4,1,44.00,14.97
0,4,2,36.00,26.53
0,4,3,68.00,44.90
0,4,4,52.00,37.09
0,4,5,48.00,27.13
0,4,6,120.00,55.14
0,4,7,8.00,16.00
0,4,8,64.00,23.32
0,4,9,20.00,12.65
1,0,0,0.00,0.00
1,0,1,20.00,12.65
1,0,2,0.00,0.00
1,0,3,64.00,36.66
1,0,4,0.00,0.00
1,0,5,0.00,0.00
1,0,6,40.00,41.95
1,0,7,0.00,0.00
1,0,8,0.00,0.00
1,0,9,12.00,9.80
1,1,0,20.00,21.91
1,1,1,16.00,8.00
1,1,2,0.00,0.00
1,1,3,144.00,68.59
1,1,4,12.00,16.00
1,1,5,0.00,0.00
1,1,6,52.00,54.55
1,1,7,8.00,16.00
1,1,8,12.00,16.00
1,1,9,28.00,24.00
1,2,0,4.00,8.00
1,2,1,36.00,23.32
1,2,2,4.00,8.00
1,2,3,92.00,51.54
1,2,4,4.00,8.00
1,2,5,4.00,8.00
1,2,6,40.00,33.47
1,2,7,4.00,8.00
1,2,8,0.00,0.00
1,2,9,24.00,23.32
1,3,0,20.00,21.91
1,3,1,44.00,23.32
1,3,2,4.00,8.00
1,3,3,172.00,67.65
1,3,4,24.00,23.32
1,3,5,0.00,0.00
1,3,6,40.00,33.47
1,3,7,24.00,23.32
1,3,8,48.00,27.13
1,3,9,36.00,29.39
1,4,0,8.00,9.80
1,4,1,24.00,23.32
1,4,2,0.00,0.00
1,4,3,132.00,57.41
1,4,4,8.00,9.80
1,4,5,8.00,9.80
1,4,6,52.00,9.80
1,4,7,12.00,24.00
1,4,8,4.00,8.00
1,4,9,16.00,19.60
