bc_pos,bc_seed,rl_seed,mean_reward,std_reward
0,0,0,96.00,19.60
0,0,1,144.00,14.97
0,0,2,144.00,38.78
0,0,3,160.00,21.91
0,0,4,104.00,32.00
0,0,5,120.00,28.28
0,0,6,132.00,20.40
0,0,7,144.00,29.39
0,0,8,148.00,43.08
0,0,9,132.00,29.93
0,1,0,92.00,16.00
0,1,1,140.00,21.91
0,1,2,136.00,29.39
0,1,3,132.00,20.40
0,1,4,156.00,14.97
0,1,5,116.00,34.41
0,1,6,124.00,23.32
0,1,7,148.00,32.50
0,1,8,144.00,49.64
0,1,9,144.00,26.53
0,2,0,92.00,32.50
0,2,1,112.00,60.13
0,2,2,108.00,41.18
0,2,3,84.00,51.22
0,2,4,152.00,27.13
0,2,5,104.00,49.64
0,2,6,108.00,32.50
0,2,7,152.00,37.09
0,2,8,140.00,28.28
0,2,9,76.00,46.30
0,3,0,112.00,39.19
0,3,1,144.00,14.97
0,3,2,100.00,41.95
0,3,3,128.00,27.13
0,3,4,108.00,37.09
0,3,5,148.00,9.80
0,3,6,136.00,29.39
0,3,7,160.00,12.65
0,3,8,152.00,37.09
0,3,9,148.00,27.13
0,4,0,116.00,19.60
0,4,1,136.00,19.60
0,4,2,104.00,14.97
0,4,3,140.00,12.65
0,4,4,136.00,23.32
0,4,5,116.00,29.39
0,4,6,132.00,9.80
0,4,7,128.00,20.40
0,4,8,152.00,27.13
0,4,9,136.00,23.32
1,0,0,84.00,14.97
1,0,1,124.00,23.32
1,0,2,140.00,37.95
1,0,3,136.00,23.32
1,0,4,128.00,29.93
1,0,5,120.00,12.65
1,0,6,140.00,35.78
1,0,7,148.00,29.93
1,0,8,148.00,9.80
1,0,9,136.00,32.00
1,1,0,120.00,17.89
1,1,1,112.00,37.09
1,1,2,132.00,16.00
1,1,3,120.00,28.28
1,1,4,160.00,12.65
1,1,5,136.00,8.00
1,1,6,160.00,21.91
1,1,7,160.00,12.65
1,1,8,140.00,12.65
1,1,9,156.00,14.97
1,2,0,92.00,29.93
1,2,1,128.00,24.00
1,2,2,140.00,35.78
1,2,3,152.00,20.40
1,2,4,128.00,16.00
1,2,5,96.00,32.00
1,2,6,148.00,16.00
1,2,7,156.00,26.53
1,2,8,152.00,20.40
1,2,9,156.00,26.53
1,3,0,96.00,19.60
1,3,1,132.00,27.13
1,3,2,96.00,38.78
1,3,3,144.00,14.97
1,3,4,128.00,16.00
1,3,5,116.00,19.60
1,3,6,148.00,16.00
1,3,7,136.00,32.00
1,3,8,144.00,29.39
1,3,9,168.00,9.80
1,4,0,124.00,26.53
1,4,1,152.00,20.40
1,4,2,152.00,37.09
1,4,3,164.00,14.97
1,4,4,144.00,19.60
1,4,5,172.00,16.00
1,4,6,156.00,23.32
1,4,7,160.00,37.95
1,4,8,172.00,9.80
1,4,9,172.00,20.40
