bc_pos,bc_seed,rl_seed,mean_reward,std_reward
0,0,0,76.00,26.53
0,0,1,92.00,16.00
0,0,2,72.00,37.09
0,0,3,104.00,29.39
0,0,4,92.00,29.93
0,0,5,64.00,14.97
0,0,6,108.00,27.13
0,0,7,104.00,19.60
0,0,8,84.00,23.32
0,0,9,76.00,19.60
0,1,0,76.00,14.97
0,1,1,84.00,23.32
0,1,2,88.00,16.00
0,1,3,100.00,12.65
0,1,4,100.00,17.89
0,1,5,96.00,19.60
0,1,6,92.00,20.40
0,1,7,92.00,16.00
0,1,8,100.00,17.89
0,1,9,84.00,8.00
0,2,0,52.00,20.40
0,2,1,76.00,8.00
0,2,2,108.00,9.80
0,2,3,88.00,9.80
0,2,4,72.00,20.40
0,2,5,72.00,16.00
0,2,6,108.00,9.80
0,2,7,100.00,12.65
0,2,8,80.00,17.89
0,2,9,68.00,20.40
0,3,0,68.00,32.50
0,3,1,68.00,9.80
0,3,2,64.00,23.32
0,3,3,92.00,16.00
0,3,4,80.00,17.89
0,3,5,92.00,20.40
0,3,6,80.00,25.30
0,3,7,100.00,12.65
0,3,8,76.00,14.97
0,3,9,76.00,23.32
0,4,0,80.00,12.65
0,4,1,92.00,29.93
0,4,2,96.00,14.97
0,4,3,84.00,26.53
0,4,4,96.00,14.97
0,4,5,76.00,23.32
0,4,6,76.00,23.32
0,4,7,92.00,29.93
0,4,8,76.00,14.97
0,4,9,68.00,16.00
1,0,0,68.00,41.18
1,0,1,76.00,29.39
1,0,2,96.00,23.32
1,0,3,104.00,19.60
1,0,4,108.00,20.40
1,0,5,76.00,32.00
1,0,6,72.00,44.90
1,0,7,80.00,17.89
1,0,8,68.00,41.18
1,0,9,80.00,17.89
1,1,0,72.00,24.00
1,1,1,84.00,19.60
1,1,2,84.00,32.00
1,1,3,80.00,33.47
1,1,4,72.00,37.09
1,1,5,100.00,21.91
1,1,6,88.00,32.50
1,1,7,112.00,27.13
1,1,8,60.00,37.95
1,1,9,64.00,29.39
1,2,0,80.00,33.47
1,2,1,84.00,29.39
1,2,2,48.00,51.54
1,2,3,84.00,23.32
1,2,4,80.00,33.47
1,2,5,76.00,46.30
1,2,6,64.00,42.71
1,2,7,76.00,34.41
1,2,8,92.00,16.00
1,2,9,72.00,37.09
1,3,0,68.00,20.40
1,3,1,92.00,9.80
1,3,2,60.00,37.95
1,3,3,84.00,29.39
1,3,4,96.00,8.00
1,3,5,76.00,14.97
1,3,6,68.00,20.40
1,3,7,92.00,27.13
1,3,8,72.00,24.00
1,3,9,88.00,20.40
1,4,0,80.00,17.89
1,4,1,76.00,23.32
1,4,2,92.00,20.40
1,4,3,100.00,12.65
1,4,4,84.00,23.32
1,4,5,96.00,14.97
1,4,6,108.00,20.40
1,4,7,84.00,19.60
1,4,8,76.00,19.60
1,4,9,76.00,23.32
