bc_pos,bc_seed,rl_seed,mean_reward,std_reward
0,0,0,192.00,9.80
0,0,1,120.00,68.12
0,0,2,124.00,48.00
0,0,3,144.00,44.54
0,0,4,140.00,45.61
0,0,5,180.00,12.65
0,0,6,112.00,48.33
0,0,7,144.00,40.79
0,0,8,136.00,59.87
0,0,9,136.00,48.00
0,1,0,160.00,17.89
0,1,1,100.00,45.61
0,1,2,104.00,46.30
0,1,3,144.00,26.53
0,1,4,88.00,61.45
0,1,5,124.00,54.26
0,1,6,176.00,8.00
0,1,7,116.00,55.71
0,1,8,100.00,59.33
0,1,9,112.00,58.79
0,2,0,112.00,37.09
0,2,1,104.00,57.13
0,2,2,108.00,64.00
0,2,3,100.00,33.47
0,2,4,92.00,24.00
0,2,5,92.00,48.33
0,2,6,152.00,41.18
0,2,7,128.00,46.65
0,2,8,112.00,61.45
0,2,9,88.00,27.13
0,3,0,156.00,59.87
0,3,1,104.00,14.97
0,3,2,96.00,46.30
0,3,3,128.00,65.24
0,3,4,88.00,51.54
0,3,5,112.00,62.74
0,3,6,104.00,46.30
0,3,7,128.00,46.65
0,3,8,120.00,45.61
0,3,9,80.00,28.28
0,4,0,148.00,58.79
0,4,1,108.00,41.18
0,4,2,92.00,39.19
0,4,3,76.00,23.32
0,4,4,116.00,29.39
0,4,5,108.00,37.09
0,4,6,148.00,48.33
0,4,7,120.00,17.89
0,4,8,136.00,36.66
0,4,9,80.00,52.15
1,0,0,200.00,0.00
1,0,1,200.00,12.65
1,0,2,196.00,8.00
1,0,3,168.00,20.40
1,0,4,184.00,26.53
1,0,5,196.00,14.97
1,0,6,192.00,9.80
1,0,7,200.00,21.91
1,0,8,172.00,27.13
1,0,9,196.00,19.60
1,1,0,168.00,16.00
1,1,1,144.00,55.71
1,1,2,168.00,27.13
1,1,3,156.00,26.53
1,1,4,128.00,20.40
1,1,5,156.00,32.00
1,1,6,168.00,16.00
1,1,7,148.00,20.40
1,1,8,156.00,29.39
1,1,9,156.00,29.39
1,2,0,192.00,20.40
1,2,1,184.00,19.60
1,2,2,172.00,20.40
1,2,3,168.00,24.00
1,2,4,148.00,44.90
1,2,5,160.00,21.91
1,2,6,168.00,32.50
1,2,7,168.00,9.80
1,2,8,160.00,41.95
1,2,9,172.00,20.40
1,3,0,192.00,9.80
1,3,1,180.00,12.65
1,3,2,200.00,12.65
1,3,3,196.00,8.00
1,3,4,184.00,26.53
1,3,5,192.00,9.80
1,3,6,172.00,20.40
1,3,7,188.00,9.80
1,3,8,180.00,12.65
1,3,9,176.00,14.97
1,4,0,184.00,8.00
1,4,1,184.00,14.97
1,4,2,172.00,16.00
1,4,3,156.00,29.39
1,4,4,164.00,40.79
1,4,5,188.00,24.00
1,4,6,180.00,12.65
1,4,7,184.00,14.97
1,4,8,180.00,12.65
1,4,9,164.00,52.76
