bc_pos,bc_seed,rl_seed,mean_reward,std_reward
0,0,0,24.00,19.60
0,0,1,60.00,21.91
0,0,2,36.00,19.60
0,0,3,32.00,16.00
0,0,4,28.00,20.40
0,0,5,36.00,14.97
0,0,6,40.00,17.89
0,0,7,24.00,8.00
0,0,8,64.00,19.60
0,0,9,28.00,9.80
0,1,0,24.00,8.00
0,1,1,68.00,9.80
0,1,2,28.00,20.40
0,1,3,16.00,14.97
0,1,4,20.00,17.89
0,1,5,16.00,8.00
0,1,6,28.00,9.80
0,1,7,24.00,14.97
0,1,8,20.00,17.89
0,1,9,24.00,8.00
0,2,0,32.00,16.00
0,2,1,60.00,12.65
0,2,2,12.00,24.00
0,2,3,12.00,9.80
0,2,4,36.00,19.60
0,2,5,24.00,14.97
0,2,6,32.00,9.80
0,2,7,20.00,0.00
0,2,8,12.00,16.00
0,2,9,16.00,8.00
0,3,0,28.00,9.80
0,3,1,52.00,9.80
0,3,2,16.00,14.97
0,3,3,20.00,0.00
0,3,4,12.00,9.80
0,3,5,20.00,0.00
0,3,6,36.00,23.32
0,3,7,20.00,12.65
0,3,8,24.00,8.00
0,3,9,40.00,12.65
0,4,0,12.00,16.00
0,4,1,60.00,0.00
0,4,2,16.00,14.97
0,4,3,20.00,12.65
0,4,4,16.00,14.97
0,4,5,20.00,12.65
0,4,6,28.00,20.40
0,4,7,32.00,9.80
0,4,8,28.00,20.40
0,4,9,28.00,9.80
1,0,0,28.00,9.80
1,0,1,52.00,29.93
1,0,2,0.00,0.00
1,0,3,24.00,19.60
1,0,4,16.00,14.97
1,0,5,32.00,27.13
1,0,6,20.00,12.65
1,0,7,32.00,16.00
1,0,8,24.00,38.78
1,0,9,48.00,41.18
1,1,0,32.00,16.00
1,1,1,24.00,23.32
1,1,2,0.00,0.00
1,1,3,20.00,30.98
1,1,4,8.00,16.00
1,1,5,36.00,26.53
1,1,6,56.00,14.97
1,1,7,60.00,21.91
1,1,8,64.00,29.39
1,1,9,36.00,38.78
1,2,0,20.00,21.91
1,2,1,32.00,24.00
1,2,2,12.00,16.00
1,2,3,28.00,29.93
1,2,4,28.00,16.00
1,2,5,44.00,8.00
1,2,6,64.00,29.39
1,2,7,40.00,35.78
1,2,8,48.00,32.50
1,2,9,56.00,23.32
1,3,0,8.00,9.80
1,3,1,8.00,9.80
1,3,2,0.00,0.00
1,3,3,12.00,16.00
1,3,4,28.00,27.13
1,3,5,36.00,23.32
1,3,6,24.00,19.60
1,3,7,32.00,32.50
1,3,8,24.00,14.97
1,3,9,12.00,24.00
1,4,0,28.00,20.40
1,4,1,64.00,29.39
1,4,2,12.00,9.80
1,4,3,24.00,29.39
1,4,4,24.00,14.97
1,4,5,20.00,25.30
1,4,6,36.00,32.00
1,4,7,56.00,23.32
1,4,8,28.00,20.40
1,4,9,36.00,23.32
