bc_pos,bc_seed,rl_seed,mean_reward,std_reward
0,0,0,32.00,27.13
0,0,1,56.00,19.60
0,0,2,48.00,67.65
0,0,3,12.00,16.00
0,0,4,64.00,64.99
0,0,5,28.00,27.13
0,0,6,64.00,63.75
0,0,7,48.00,57.41
0,0,8,12.00,16.00
0,0,9,32.00,27.13
0,1,0,28.00,39.19
0,1,1,88.00,51.54
0,1,2,16.00,23.32
0,1,3,20.00,25.30
0,1,4,112.00,64.00
0,1,5,72.00,95.16
0,1,6,8.00,16.00
0,1,7,40.00,45.61
0,1,8,16.00,23.32
0,1,9,20.00,21.91
0,2,0,20.00,17.89
0,2,1,44.00,40.79
0,2,2,28.00,29.93
0,2,3,76.00,79.40
0,2,4,32.00,20.40
0,2,5,36.00,26.53
0,2,6,24.00,8.00
0,2,7,16.00,19.60
0,2,8,28.00,27.13
0,2,9,28.00,20.40
0,3,0,16.00,23.32
0,3,1,72.00,96.83
0,3,2,68.00,71.11
0,3,3,28.00,39.19
0,3,4,76.00,114.12
0,3,5,76.00,99.12
0,3,6,76.00,122.90
0,3,7,20.00,25.30
0,3,8,48.00,69.97
0,3,9,52.00,29.93
0,4,0,108.00,48.33
0,4,1,68.00,34.87
0,4,2,160.00,60.66
0,4,3,104.00,55.71
0,4,4,148.00,48.33
0,4,5,68.00,87.27
0,4,6,108.00,29.93
0,4,7,36.00,23.32
0,4,8,108.00,89.98
0,4,9,136.00,81.39
1,0,0,332.00,9.80
1,0,1,296.00,19.60
1,0,2,332.00,9.80
1,0,3,316.00,8.00
1,0,4,328.00,20.40
1,0,5,296.00,8.00
1,0,6,416.00,29.39
1,0,7,316.00,40.79
1,0,8,316.00,19.60
1,0,9,344.00,8.00
1,1,0,268.00,20.40
1,1,1,256.00,23.32
1,1,2,268.00,9.80
1,1,3,268.00,27.13
1,1,4,252.00,9.80
1,1,5,276.00,19.60
1,1,6,352.00,16.00
1,1,7,268.00,9.80
1,1,8,236.00,38.78
1,1,9,264.00,14.97
1,2,0,240.00,72.66
1,2,1,272.00,20.40
1,2,2,268.00,48.33
1,2,3,228.00,37.09
1,2,4,236.00,55.71
1,2,5,260.00,33.47
1,2,6,348.00,32.50
1,2,7,260.00,21.91
1,2,8,268.00,37.09
1,2,9,280.00,30.98
1,3,0,284.00,32.00
1,3,1,288.00,20.40
1,3,2,292.00,20.40
1,3,3,268.00,49.96
1,3,4,252.00,61.45
1,3,5,272.00,9.80
1,3,6,340.00,77.97
1,3,7,280.00,28.28
1,3,8,268.00,56.00
1,3,9,292.00,20.40
1,4,0,284.00,23.32
1,4,1,276.00,29.39
1,4,2,248.00,53.07
1,4,3,316.00,23.32
1,4,4,308.00,27.13
1,4,5,276.00,14.97
1,4,6,376.00,23.32
1,4,7,284.00,32.00
1,4,8,296.00,14.97
1,4,9,304.00,8.00
