bc_pos,bc_seed,rl_seed,mean_reward,std_reward
0,0,0,168.00,37.09
0,0,1,116.00,66.21
0,0,2,208.00,20.40
0,0,3,156.00,42.71
0,0,4,136.00,51.22
0,0,5,132.00,16.00
0,0,6,152.00,37.09
0,0,7,144.00,44.54
0,0,8,144.00,26.53
0,0,9,188.00,48.33
0,1,0,152.00,20.40
0,1,1,160.00,28.28
0,1,2,164.00,34.41
0,1,3,132.00,16.00
0,1,4,136.00,46.30
0,1,5,160.00,40.00
0,1,6,116.00,32.00
0,1,7,140.00,37.95
0,1,8,128.00,41.18
0,1,9,124.00,52.76
0,2,0,188.00,16.00
0,2,1,152.00,24.00
0,2,2,168.00,46.65
0,2,3,156.00,34.41
0,2,4,148.00,56.00
0,2,5,152.00,34.87
0,2,6,156.00,38.78
0,2,7,168.00,29.93
0,2,8,88.00,56.00
0,2,9,160.00,47.33
0,3,0,168.00,34.87
0,3,1,140.00,21.91
0,3,2,196.00,32.00
0,3,3,156.00,29.39
0,3,4,144.00,38.78
0,3,5,192.00,20.40
0,3,6,148.00,32.50
0,3,7,156.00,48.00
0,3,8,116.00,42.71
0,3,9,124.00,69.74
0,4,0,160.00,25.30
0,4,1,136.00,61.19
0,4,2,172.00,46.65
0,4,3,140.00,37.95
0,4,4,180.00,25.30
0,4,5,140.00,33.47
0,4,6,168.00,37.09
0,4,7,140.00,60.66
0,4,8,136.00,74.19
0,4,9,176.00,23.32
1,0,0,168.00,24.00
1,0,1,152.00,16.00
1,0,2,132.00,41.18
1,0,3,100.00,57.97
1,0,4,176.00,19.60
1,0,5,112.00,61.45
1,0,6,120.00,47.33
1,0,7,152.00,27.13
1,0,8,168.00,27.13
1,0,9,148.00,29.93
1,1,0,136.00,48.00
1,1,1,160.00,17.89
1,1,2,132.00,76.52
1,1,3,124.00,26.53
1,1,4,132.00,51.54
1,1,5,88.00,48.33
1,1,6,124.00,48.00
1,1,7,172.00,24.00
1,1,8,100.00,80.99
1,1,9,136.00,38.78
1,2,0,164.00,26.53
1,2,1,136.00,49.64
1,2,2,116.00,38.78
1,2,3,108.00,58.79
1,2,4,152.00,27.13
1,2,5,148.00,27.13
1,2,6,100.00,28.28
1,2,7,160.00,28.28
1,2,8,140.00,37.95
1,2,9,104.00,36.66
1,3,0,172.00,9.80
1,3,1,152.00,39.19
1,3,2,152.00,76.52
1,3,3,132.00,34.87
1,3,4,116.00,23.32
1,3,5,156.00,46.30
1,3,6,132.00,37.09
1,3,7,148.00,27.13
1,3,8,152.00,60.13
1,3,9,60.00,65.73
1,4,0,184.00,8.00
1,4,1,176.00,14.97
1,4,2,188.00,16.00
1,4,3,168.00,20.40
1,4,4,144.00,66.21
1,4,5,172.00,37.09
1,4,6,112.00,51.54
1,4,7,196.00,14.97
1,4,8,176.00,32.00
1,4,9,136.00,57.13
