bc_pos,bc_seed,rl_seed,mean_reward,std_reward
0,0,0,88.00,16.00
0,0,1,76.00,40.79
0,0,2,32.00,16.00
0,0,3,72.00,16.00
0,0,4,52.00,20.40
0,0,5,60.00,33.47
0,0,6,80.00,47.33
0,0,7,84.00,62.48
0,0,8,56.00,26.53
0,0,9,76.00,49.64
0,1,0,92.00,27.13
0,1,1,120.00,21.91
0,1,2,48.00,20.40
0,1,3,72.00,16.00
0,1,4,60.00,25.30
0,1,5,92.00,37.09
0,1,6,60.00,50.60
0,1,7,44.00,23.32
0,1,8,60.00,21.91
0,1,9,36.00,36.66
0,2,0,84.00,54.26
0,2,1,92.00,29.93
0,2,2,52.00,27.13
0,2,3,80.00,33.47
0,2,4,72.00,32.50
0,2,5,76.00,23.32
0,2,6,44.00,36.66
0,2,7,44.00,34.41
0,2,8,84.00,23.32
0,2,9,28.00,20.40
0,3,0,100.00,33.47
0,3,1,108.00,37.09
0,3,2,60.00,33.47
0,3,3,96.00,23.32
0,3,4,80.00,33.47
0,3,5,68.00,29.93
0,3,6,112.00,16.00
0,3,7,96.00,55.71
0,3,8,44.00,29.39
0,3,9,52.00,27.13
0,4,0,72.00,29.93
0,4,1,88.00,24.00
0,4,2,24.00,14.97
0,4,3,64.00,8.00
0,4,4,80.00,35.78
0,4,5,88.00,32.50
0,4,6,72.00,32.50
0,4,7,84.00,38.78
0,4,8,44.00,52.76
0,4,9,56.00,55.71
1,0,0,112.00,20.40
1,0,1,100.00,21.91
1,0,2,32.00,20.40
1,0,3,60.00,33.47
1,0,4,60.00,12.65
1,0,5,68.00,27.13
1,0,6,76.00,14.97
1,0,7,140.00,17.89
1,0,8,52.00,32.50
1,0,9,84.00,38.78
1,1,0,116.00,32.00
1,1,1,92.00,27.13
1,1,2,36.00,14.97
1,1,3,64.00,26.53
1,1,4,68.00,34.87
1,1,5,88.00,46.65
1,1,6,104.00,38.78
1,1,7,96.00,49.64
1,1,8,72.00,51.54
1,1,9,56.00,42.71
1,2,0,84.00,23.32
1,2,1,44.00,29.39
1,2,2,44.00,14.97
1,2,3,88.00,27.13
1,2,4,88.00,43.08
1,2,5,88.00,32.50
1,2,6,52.00,27.13
1,2,7,80.00,48.99
1,2,8,44.00,29.39
1,2,9,52.00,16.00
1,3,0,68.00,41.18
1,3,1,80.00,21.91
1,3,2,36.00,14.97
1,3,3,76.00,26.53
1,3,4,68.00,37.09
1,3,5,80.00,35.78
1,3,6,68.00,41.18
1,3,7,88.00,27.13
1,3,8,56.00,14.97
1,3,9,60.00,33.47
1,4,0,88.00,27.13
1,4,1,116.00,14.97
1,4,2,68.00,24.00
1,4,3,48.00,24.00
1,4,4,92.00,34.87
1,4,5,36.00,32.00
1,4,6,72.00,60.13
1,4,7,104.00,46.30
1,4,8,48.00,54.55
1,4,9,76.00,32.00
