bc_pos,bc_seed,rl_seed,mean_reward,std_reward
0,0,0,56.00,26.53
0,0,1,44.00,14.97
0,0,2,56.00,36.66
0,0,3,80.00,35.78
0,0,4,64.00,52.76
0,0,5,76.00,34.41
0,0,6,52.00,9.80
0,0,7,68.00,37.09
0,0,8,40.00,41.95
0,0,9,52.00,34.87
0,1,0,68.00,20.40
0,1,1,68.00,9.80
0,1,2,20.00,12.65
0,1,3,64.00,44.54
0,1,4,84.00,23.32
0,1,5,64.00,44.54
0,1,6,52.00,9.80
0,1,7,76.00,26.53
0,1,8,48.00,37.09
0,1,9,40.00,28.28
0,2,0,24.00,23.32
0,2,1,44.00,29.39
0,2,2,44.00,40.79
0,2,3,80.00,33.47
0,2,4,76.00,32.00
0,2,5,60.00,17.89
0,2,6,56.00,29.39
0,2,7,56.00,23.32
0,2,8,44.00,19.60
0,2,9,92.00,32.50
0,3,0,44.00,23.32
0,3,1,56.00,23.32
0,3,2,112.00,39.19
0,3,3,56.00,23.32
0,3,4,124.00,14.97
0,3,5,56.00,38.78
0,3,6,40.00,17.89
0,3,7,108.00,27.13
0,3,8,64.00,40.79
0,3,9,96.00,34.41
0,4,0,48.00,29.93
0,4,1,40.00,17.89
0,4,2,100.00,25.30
0,4,3,52.00,37.09
0,4,4,84.00,14.97
0,4,5,68.00,44.90
0,4,6,60.00,17.89
0,4,7,100.00,28.28
0,4,8,32.00,20.40
0,4,9,76.00,34.41
1,0,0,64.00,29.39
1,0,1,48.00,20.40
1,0,2,64.00,36.66
1,0,3,48.00,58.79
1,0,4,44.00,40.79
1,0,5,80.00,35.78
1,0,6,80.00,21.91
1,0,7,120.00,50.60
1,0,8,72.00,32.50
1,0,9,56.00,19.60
1,1,0,52.00,16.00
1,1,1,60.00,17.89
1,1,2,96.00,26.53
1,1,3,52.00,43.08
1,1,4,72.00,44.90
1,1,5,68.00,20.40
1,1,6,48.00,37.09
1,1,7,124.00,14.97
1,1,8,64.00,32.00
1,1,9,84.00,46.30
1,2,0,36.00,23.32
1,2,1,56.00,14.97
1,2,2,36.00,23.32
1,2,3,68.00,34.87
1,2,4,88.00,60.13
1,2,5,56.00,26.53
1,2,6,48.00,20.40
1,2,7,80.00,37.95
1,2,8,88.00,24.00
1,2,9,76.00,42.71
1,3,0,60.00,12.65
1,3,1,72.00,20.40
1,3,2,64.00,29.39
1,3,3,64.00,29.39
1,3,4,60.00,48.99
1,3,5,28.00,24.00
1,3,6,60.00,33.47
1,3,7,96.00,38.78
1,3,8,64.00,34.41
1,3,9,88.00,29.93
1,4,0,56.00,42.71
1,4,1,56.00,32.00
1,4,2,92.00,48.33
1,4,3,60.00,41.95
1,4,4,72.00,29.93
1,4,5,100.00,47.33
1,4,6,80.00,33.47
1,4,7,92.00,20.40
1,4,8,88.00,20.40
1,4,9,88.00,46.65
