bc_pos,bc_seed,rl_seed,mean_reward,std_reward
0,0,0,188.00,24.00
0,0,1,164.00,23.32
0,0,2,180.00,21.91
0,0,3,164.00,34.41
0,0,4,164.00,52.76
0,0,5,136.00,54.26
0,0,6,188.00,16.00
0,0,7,148.00,65.24
0,0,8,148.00,20.40
0,0,9,172.00,37.09
0,1,0,164.00,29.39
0,1,1,180.00,12.65
0,1,2,184.00,8.00
0,1,3,164.00,34.41
0,1,4,156.00,32.00
0,1,5,160.00,35.78
0,1,6,160.00,41.95
0,1,7,132.00,67.65
0,1,8,180.00,12.65
0,1,9,156.00,26.53
0,2,0,124.00,55.71
0,2,1,156.00,29.39
0,2,2,108.00,48.33
0,2,3,148.00,65.24
0,2,4,100.00,56.57
0,2,5,136.00,44.54
0,2,6,108.00,72.22
0,2,7,92.00,73.32
0,2,8,92.00,58.79
0,2,9,168.00,54.55
0,3,0,176.00,38.78
0,3,1,140.00,35.78
0,3,2,164.00,62.48
0,3,3,172.00,37.09
0,3,4,152.00,29.93
0,3,5,184.00,14.97
0,3,6,160.00,41.95
0,3,7,120.00,69.28
0,3,8,156.00,38.78
0,3,9,172.00,20.40
0,4,0,104.00,38.78
0,4,1,160.00,21.91
0,4,2,184.00,14.97
0,4,3,152.00,24.00
0,4,4,172.00,16.00
0,4,5,156.00,8.00
0,4,6,148.00,43.08
0,4,7,124.00,14.97
0,4,8,164.00,26.53
0,4,9,140.00,17.89
1,0,0,188.00,16.00
1,0,1,188.00,16.00
1,0,2,196.00,8.00
1,0,3,188.00,20.40
1,0,4,176.00,38.78
1,0,5,176.00,51.22
1,0,6,200.00,12.65
1,0,7,172.00,9.80
1,0,8,196.00,8.00
1,0,9,156.00,34.41
1,1,0,168.00,51.54
1,1,1,148.00,57.41
1,1,2,184.00,23.32
1,1,3,188.00,16.00
1,1,4,172.00,29.93
1,1,5,184.00,23.32
1,1,6,176.00,23.32
1,1,7,188.00,16.00
1,1,8,152.00,41.18
1,1,9,152.00,65.24
1,2,0,200.00,21.91
1,2,1,204.00,8.00
1,2,2,172.00,46.65
1,2,3,184.00,19.60
1,2,4,180.00,30.98
1,2,5,188.00,9.80
1,2,6,176.00,19.60
1,2,7,164.00,34.41
1,2,8,200.00,0.00
1,2,9,164.00,62.48
1,3,0,136.00,40.79
1,3,1,196.00,8.00
1,3,2,148.00,80.60
1,3,3,184.00,14.97
1,3,4,196.00,8.00
1,3,5,192.00,9.80
1,3,6,192.00,16.00
1,3,7,192.00,20.40
1,3,8,192.00,20.40
1,3,9,204.00,8.00
1,4,0,144.00,63.75
1,4,1,152.00,37.09
1,4,2,196.00,19.60
1,4,3,188.00,9.80
1,4,4,164.00,52.76
1,4,5,148.00,48.33
1,4,6,160.00,50.60
1,4,7,176.00,14.97
1,4,8,188.00,16.00
1,4,9,164.00,55.71
