bc_pos,bc_seed,rl_seed,mean_reward,std_reward
0,0,0,32.00,27.13
0,0,1,16.00,8.00
0,0,2,32.00,9.80
0,0,3,48.00,9.80
0,0,4,0.00,0.00
0,0,5,36.00,14.97
0,0,6,36.00,23.32
0,0,7,32.00,16.00
0,0,8,36.00,19.60
0,0,9,32.00,27.13
0,1,0,44.00,19.60
0,1,1,20.00,17.89
0,1,2,40.00,35.78
0,1,3,28.00,16.00
0,1,4,0.00,0.00
0,1,5,8.00,9.80
0,1,6,28.00,20.40
0,1,7,16.00,8.00
0,1,8,24.00,14.97
0,1,9,20.00,21.91
0,2,0,20.00,17.89
0,2,1,16.00,14.97
0,2,2,36.00,14.97
0,2,3,36.00,19.60
0,2,4,8.00,9.80
0,2,5,12.00,9.80
0,2,6,20.00,17.89
0,2,7,8.00,9.80
0,2,8,32.00,20.40
0,2,9,20.00,30.98
0,3,0,16.00,14.97
0,3,1,4.00,8.00
0,3,2,16.00,14.97
0,3,3,12.00,16.00
0,3,4,28.00,16.00
0,3,5,16.00,23.32
0,3,6,20.00,21.91
0,3,7,12.00,16.00
0,3,8,16.00,19.60
0,3,9,16.00,14.97
0,4,0,16.00,19.60
0,4,1,8.00,9.80
0,4,2,12.00,16.00
0,4,3,24.00,14.97
0,4,4,8.00,9.80
0,4,5,0.00,0.00
0,4,6,12.00,16.00
0,4,7,24.00,19.60
0,4,8,8.00,16.00
0,4,9,0.00,0.00
1,0,0,4.00,8.00
1,0,1,20.00,25.30
1,0,2,16.00,14.97
1,0,3,8.00,9.80
1,0,4,44.00,26.53
1,0,5,8.00,9.80
1,0,6,16.00,23.32
1,0,7,28.00,16.00
1,0,8,12.00,16.00
1,0,9,36.00,23.32
1,1,0,16.00,14.97
1,1,1,28.00,20.40
1,1,2,32.00,27.13
1,1,3,40.00,30.98
1,1,4,36.00,29.39
1,1,5,16.00,14.97
1,1,6,32.00,27.13
1,1,7,24.00,29.39
1,1,8,32.00,20.40
1,1,9,4.00,8.00
1,2,0,16.00,23.32
1,2,1,24.00,8.00
1,2,2,12.00,16.00
1,2,3,24.00,19.60
1,2,4,40.00,33.47
1,2,5,16.00,19.60
1,2,6,36.00,26.53
1,2,7,40.00,41.95
1,2,8,32.00,16.00
1,2,9,12.00,16.00
1,3,0,20.00,12.65
1,3,1,8.00,9.80
1,3,2,20.00,25.30
1,3,3,12.00,16.00
1,3,4,28.00,27.13
1,3,5,12.00,16.00
1,3,6,16.00,14.97
1,3,7,52.00,24.00
1,3,8,20.00,12.65
1,3,9,16.00,14.97
1,4,0,8.00,16.00
1,4,1,24.00,14.97
1,4,2,20.00,12.65
1,4,3,24.00,32.00
1,4,4,8.00,9.80
1,4,5,12.00,9.80
1,4,6,24.00,14.97
1,4,7,44.00,29.39
1,4,8,8.00,9.80
1,4,9,28.00,20.40
