bc_pos,bc_seed,rl_seed,mean_reward,std_reward
0,0,0,8.00,9.80
0,0,1,20.00,12.65
0,0,2,4.00,8.00
0,0,3,52.00,46.65
0,0,4,16.00,14.97
0,0,5,20.00,30.98
0,0,6,12.00,16.00
0,0,7,28.00,16.00
0,0,8,48.00,48.33
0,0,9,12.00,16.00
0,1,0,24.00,19.60
0,1,1,44.00,46.30
0,1,2,16.00,23.32
0,1,3,80.00,76.94
0,1,4,40.00,52.15
0,1,5,8.00,16.00
0,1,6,8.00,9.80
0,1,7,44.00,40.79
0,1,8,52.00,39.19
0,1,9,8.00,9.80
0,2,0,60.00,73.76
0,2,1,32.00,37.09
0,2,2,36.00,34.41
0,2,3,12.00,16.00
0,2,4,20.00,12.65
0,2,5,56.00,46.30
0,2,6,4.00,8.00
0,2,7,76.00,79.40
0,2,8,16.00,23.32
0,2,9,4.00,8.00
0,3,0,28.00,56.00
0,3,1,76.00,94.15
0,3,2,12.00,24.00
0,3,3,32.00,39.19
0,3,4,52.00,51.54
0,3,5,24.00,48.00
0,3,6,16.00,8.00
0,3,7,32.00,37.09
0,3,8,16.00,23.32
0,3,9,16.00,8.00
0,4,0,120.00,78.99
0,4,1,152.00,48.33
0,4,2,64.00,44.54
0,4,3,52.00,51.54
0,4,4,68.00,51.54
0,4,5,68.00,43.08
0,4,6,44.00,26.53
0,4,7,132.00,76.52
0,4,8,80.00,37.95
0,4,9,44.00,26.53
1,0,0,328.00,9.80
1,0,1,292.00,37.09
1,0,2,300.00,30.98
1,0,3,304.00,32.00
1,0,4,284.00,34.41
1,0,5,288.00,32.50
1,0,6,0.00,0.00
1,0,7,324.00,14.97
1,0,8,324.00,19.60
1,0,9,0.00,0.00
1,1,0,268.00,20.40
1,1,1,244.00,14.97
1,1,2,264.00,14.97
1,1,3,244.00,19.60
1,1,4,216.00,48.00
1,1,5,256.00,14.97
1,1,6,8.00,16.00
1,1,7,232.00,9.80
1,1,8,240.00,12.65
1,1,9,8.00,16.00
1,2,0,196.00,89.80
1,2,1,228.00,61.45
1,2,2,216.00,67.41
1,2,3,252.00,49.96
1,2,4,168.00,94.32
1,2,5,252.00,37.09
1,2,6,4.00,8.00
1,2,7,216.00,103.85
1,2,8,200.00,52.15
1,2,9,4.00,8.00
1,3,0,284.00,42.71
1,3,1,248.00,29.93
1,3,2,288.00,9.80
1,3,3,296.00,14.97
1,3,4,284.00,8.00
1,3,5,272.00,9.80
1,3,6,24.00,23.32
1,3,7,252.00,51.54
1,3,8,280.00,12.65
1,3,9,24.00,23.32
1,4,0,288.00,9.80
1,4,1,268.00,20.40
1,4,2,276.00,23.32
1,4,3,260.00,37.95
1,4,4,168.00,79.60
1,4,5,228.00,57.41
1,4,6,12.00,24.00
1,4,7,252.00,20.40
1,4,8,256.00,34.41
1,4,9,12.00,24.00
