bc_pos,bc_seed,rl_seed,mean_reward,std_reward
0,0,0,52.00,43.08
0,0,1,60.00,30.98
0,0,2,136.00,38.78
0,0,3,144.00,44.54
0,0,4,68.00,41.18
0,0,5,40.00,21.91
0,0,6,88.00,44.90
0,0,7,16.00,14.97
0,0,8,28.00,20.40
0,0,9,36.00,38.78
0,1,0,44.00,23.32
0,1,1,44.00,32.00
0,1,2,100.00,28.28
0,1,3,104.00,46.30
0,1,4,52.00,29.93
0,1,5,44.00,26.53
0,1,6,84.00,42.71
0,1,7,52.00,29.93
0,1,8,48.00,20.40
0,1,9,72.00,20.40
0,2,0,52.00,37.09
0,2,1,88.00,39.19
0,2,2,104.00,62.48
0,2,3,124.00,23.32
0,2,4,84.00,23.32
0,2,5,56.00,23.32
0,2,6,84.00,23.32
0,2,7,12.00,16.00
0,2,8,48.00,32.50
0,2,9,24.00,19.60
0,3,0,20.00,12.65
0,3,1,40.00,17.89
0,3,2,108.00,20.40
0,3,3,92.00,60.13
0,3,4,68.00,27.13
0,3,5,16.00,32.00
0,3,6,72.00,24.00
0,3,7,24.00,23.32
0,3,8,36.00,32.00
0,3,9,52.00,34.87
0,4,0,64.00,38.78
0,4,1,88.00,20.40
0,4,2,120.00,33.47
0,4,3,88.00,48.33
0,4,4,36.00,14.97
0,4,5,36.00,26.53
0,4,6,80.00,28.28
0,4,7,80.00,33.47
0,4,8,60.00,12.65
0,4,9,40.00,12.65
1,0,0,40.00,37.95
1,0,1,52.00,16.00
1,0,2,32.00,27.13
1,0,3,124.00,57.13
1,0,4,64.00,32.00
1,0,5,56.00,8.00
1,0,6,88.00,20.40
1,0,7,48.00,20.40
1,0,8,52.00,24.00
1,0,9,60.00,28.28
1,1,0,16.00,23.32
1,1,1,40.00,21.91
1,1,2,84.00,38.78
1,1,3,80.00,63.25
1,1,4,44.00,32.00
1,1,5,52.00,27.13
1,1,6,80.00,25.30
1,1,7,48.00,20.40
1,1,8,36.00,34.41
1,1,9,76.00,8.00
1,2,0,44.00,14.97
1,2,1,32.00,27.13
1,2,2,88.00,9.80
1,2,3,124.00,63.75
1,2,4,80.00,12.65
1,2,5,24.00,14.97
1,2,6,68.00,37.09
1,2,7,44.00,19.60
1,2,8,40.00,37.95
1,2,9,76.00,23.32
1,3,0,28.00,34.87
1,3,1,36.00,23.32
1,3,2,108.00,56.00
1,3,3,80.00,33.47
1,3,4,60.00,28.28
1,3,5,48.00,41.18
1,3,6,64.00,36.66
1,3,7,48.00,39.19
1,3,8,8.00,9.80
1,3,9,72.00,41.18
1,4,0,60.00,21.91
1,4,1,92.00,49.96
1,4,2,76.00,34.41
1,4,3,108.00,67.65
1,4,4,68.00,43.08
1,4,5,76.00,42.71
1,4,6,72.00,9.80
1,4,7,64.00,32.00
1,4,8,72.00,57.41
1,4,9,68.00,32.50
