bc_pos,bc_seed,rl_seed,mean_reward,std_reward
0,0,0,124.00,48.00
0,0,1,104.00,52.76
0,0,2,108.00,37.09
0,0,3,96.00,23.32
0,0,4,152.00,16.00
0,0,5,140.00,45.61
0,0,6,128.00,29.93
0,0,7,132.00,44.90
0,0,8,140.00,30.98
0,0,9,84.00,34.41
0,1,0,108.00,51.54
0,1,1,116.00,59.87
0,1,2,100.00,43.82
0,1,3,64.00,29.39
0,1,4,140.00,48.99
0,1,5,124.00,29.39
0,1,6,100.00,28.28
0,1,7,112.00,37.09
0,1,8,144.00,14.97
0,1,9,124.00,34.41
0,2,0,120.00,41.95
0,2,1,140.00,21.91
0,2,2,44.00,38.78
0,2,3,76.00,34.41
0,2,4,132.00,16.00
0,2,5,60.00,21.91
0,2,6,96.00,42.71
0,2,7,52.00,37.09
0,2,8,68.00,32.50
0,2,9,84.00,44.54
0,3,0,120.00,28.28
0,3,1,128.00,39.19
0,3,2,92.00,41.18
0,3,3,80.00,12.65
0,3,4,144.00,19.60
0,3,5,120.00,45.61
0,3,6,80.00,45.61
0,3,7,100.00,45.61
0,3,8,136.00,38.78
0,3,9,96.00,38.78
0,4,0,96.00,26.53
0,4,1,132.00,51.54
0,4,2,96.00,52.76
0,4,3,80.00,35.78
0,4,4,148.00,41.18
0,4,5,108.00,29.93
0,4,6,52.00,24.00
0,4,7,76.00,55.71
0,4,8,136.00,29.39
0,4,9,96.00,19.60
1,0,0,156.00,14.97
1,0,1,108.00,54.55
1,0,2,124.00,59.87
1,0,3,120.00,35.78
1,0,4,144.00,29.39
1,0,5,144.00,34.41
1,0,6,72.00,41.18
1,0,7,128.00,54.55
1,0,8,144.00,44.54
1,0,9,108.00,64.00
1,1,0,136.00,52.76
1,1,1,140.00,41.95
1,1,2,104.00,44.54
1,1,3,108.00,44.90
1,1,4,124.00,36.66
1,1,5,132.00,20.40
1,1,6,112.00,48.33
1,1,7,128.00,44.90
1,1,8,168.00,27.13
1,1,9,56.00,46.30
1,2,0,128.00,37.09
1,2,1,160.00,40.00
1,2,2,76.00,48.00
1,2,3,100.00,55.14
1,2,4,140.00,33.47
1,2,5,184.00,14.97
1,2,6,116.00,19.60
1,2,7,88.00,43.08
1,2,8,132.00,41.18
1,2,9,132.00,41.18
1,3,0,128.00,27.13
1,3,1,108.00,48.33
1,3,2,152.00,37.09
1,3,3,88.00,54.55
1,3,4,136.00,26.53
1,3,5,152.00,48.33
1,3,6,140.00,21.91
1,3,7,120.00,63.25
1,3,8,128.00,43.08
1,3,9,48.00,37.09
1,4,0,76.00,34.41
1,4,1,100.00,59.33
1,4,2,124.00,34.41
1,4,3,92.00,34.87
1,4,4,132.00,27.13
1,4,5,132.00,37.09
1,4,6,92.00,53.07
1,4,7,112.00,20.40
1,4,8,96.00,34.41
1,4,9,108.00,44.90
