bc_pos,bc_seed,rl_seed,mean_reward,std_reward
0,0,0,44.00,19.60
0,0,1,0.00,0.00
0,0,2,0.00,0.00
0,0,3,0.00,0.00
0,0,4,16.00,23.32
0,0,5,0.00,0.00
0,0,6,8.00,16.00
0,0,7,4.00,8.00
0,0,8,8.00,9.80
0,0,9,32.00,20.40
0,1,0,28.00,16.00
0,1,1,0.00,0.00
0,1,2,0.00,0.00
0,1,3,4.00,8.00
0,1,4,4.00,8.00
0,1,5,12.00,9.80
0,1,6,16.00,14.97
0,1,7,16.00,19.60
0,1,8,0.00,0.00
0,1,9,16.00,8.00
0,2,0,28.00,9.80
0,2,1,0.00,0.00
0,2,2,0.00,0.00
0,2,3,0.00,0.00
0,2,4,12.00,16.00
0,2,5,8.00,9.80
0,2,6,4.00,8.00
0,2,7,32.00,16.00
0,2,8,4.00,8.00
0,2,9,20.00,12.65
0,3,0,8.00,9.80
0,3,1,4.00,8.00
0,3,2,0.00,0.00
0,3,3,4.00,8.00
0,3,4,0.00,0.00
0,3,5,4.00,8.00
0,3,6,8.00,9.80
0,3,7,28.00,16.00
0,3,8,0.00,0.00
0,3,9,24.00,14.97
0,4,0,8.00,9.80
0,4,1,0.00,0.00
0,4,2,0.00,0.00
0,4,3,12.00,9.80
0,4,4,0.00,0.00
0,4,5,12.00,9.80
0,4,6,0.00,0.00
0,4,7,0.00,0.00
0,4,8,4.00,8.00
0,4,9,12.00,9.80
1,0,0,0.00,0.00
1,0,1,0.00,0.00
1,0,2,0.00,0.00
1,0,3,12.00,16.00
1,0,4,4.00,8.00
1,0,5,0.00,0.00
1,0,6,4.00,8.00
1,0,7,4.00,8.00
1,0,8,12.00,16.00
1,0,9,8.00,9.80
1,1,0,0.00,0.00
1,1,1,4.00,8.00
1,1,2,8.00,9.80
1,1,3,12.00,16.00
1,1,4,4.00,8.00
1,1,5,0.00,0.00
1,1,6,0.00,0.00
1,1,7,8.00,9.80
1,1,8,8.00,9.80
1,1,9,12.00,9.80
1,2,0,8.00,9.80
1,2,1,0.00,0.00
1,2,2,4.00,8.00
1,2,3,16.00,23.32
1,2,4,4.00,8.00
1,2,5,0.00,0.00
1,2,6,4.00,8.00
1,2,7,4.00,8.00
1,2,8,12.00,24.00
1,2,9,4.00,8.00
1,3,0,8.00,9.80
1,3,1,0.00,0.00
1,3,2,12.00,16.00
1,3,3,4.00,8.00
1,3,4,8.00,9.80
1,3,5,4.00,8.00
1,3,6,8.00,9.80
1,3,7,4.00,8.00
1,3,8,12.00,9.80
1,3,9,12.00,16.00
1,4,0,0.00,0.00
1,4,1,4.00,8.00
1,4,2,8.00,9.80
1,4,3,16.00,14.97
1,4,4,4.00,8.00
1,4,5,0.00,0.00
1,4,6,0.00,0.00
1,4,7,8.00,9.80
1,4,8,12.00,16.00
1,4,9,16.00,14.97
