bc_pos,bc_seed,rl_seed,mean_reward,std_reward
0,0,0,4.00,8.00
0,0,1,60.00,59.33
0,0,2,32.00,20.40
0,0,3,12.00,16.00
0,0,4,48.00,27.13
0,0,5,28.00,29.93
0,0,6,28.00,34.87
0,0,7,24.00,38.78
0,0,8,28.00,29.93
0,0,9,16.00,23.32
0,0,10,40.00,28.28
0,0,11,24.00,19.60
0,1,0,24.00,14.97
0,1,1,36.00,72.00
0,1,2,60.00,53.67
0,1,3,12.00,16.00
0,1,4,36.00,19.60
0,1,5,44.00,38.78
0,1,6,24.00,23.32
0,1,7,108.00,56.00
0,1,8,16.00,19.60
0,1,9,20.00,30.98
0,1,10,64.00,40.79
0,1,11,36.00,36.66
0,2,0,68.00,61.45
0,2,1,52.00,48.33
0,2,2,72.00,53.07
0,2,3,12.00,9.80
0,2,4,48.00,46.65
0,2,5,116.00,100.72
0,2,6,20.00,21.91
0,2,7,88.00,78.59
0,2,8,40.00,50.60
0,2,9,12.00,9.80
0,2,10,40.00,28.28
0,2,11,60.00,91.21
0,3,0,36.00,62.48
0,3,1,48.00,60.13
0,3,2,68.00,73.32
0,3,3,24.00,48.00
0,3,4,12.00,24.00
0,3,5,48.00,37.09
0,3,6,32.00,64.00
0,3,7,16.00,14.97
0,3,8,20.00,30.98
0,3,9,0.00,0.00
0,3,10,16.00,23.32
0,3,11,48.00,86.35
0,4,0,64.00,73.10
0,4,1,60.00,50.60
0,4,2,104.00,67.41
0,4,3,64.00,42.71
0,4,4,72.00,41.18
0,4,5,100.00,64.50
0,4,6,64.00,55.71
0,4,7,116.00,69.74
0,4,8,88.00,48.33
0,4,9,88.00,34.87
0,4,10,116.00,82.37
0,4,11,72.00,72.22
1,0,0,336.00,8.00
1,0,1,420.00,12.65
1,0,2,320.00,12.65
1,0,3,324.00,8.00
1,0,4,348.00,9.80
1,0,5,212.00,106.28
1,0,6,324.00,14.97
1,0,7,300.00,52.15
1,0,8,396.00,29.39
1,0,9,328.00,16.00
1,0,10,276.00,79.40
1,0,11,320.00,25.30
1,1,0,264.00,14.97
1,1,1,344.00,14.97
1,1,2,248.00,44.90
1,1,3,268.00,27.13
1,1,4,256.00,19.60
1,1,5,284.00,73.10
1,1,6,276.00,14.97
1,1,7,264.00,14.97
1,1,8,356.00,19.60
1,1,9,256.00,14.97
1,1,10,260.00,25.30
1,1,11,252.00,9.80
1,2,0,200.00,40.00
1,2,1,332.00,29.93
1,2,2,248.00,24.00
1,2,3,280.00,21.91
1,2,4,204.00,74.19
1,2,5,256.00,72.00
1,2,6,212.00,79.60
1,2,7,240.00,43.82
1,2,8,260.00,70.43
1,2,9,228.00,46.65
1,2,10,284.00,34.41
1,2,11,256.00,59.87
1,3,0,288.00,9.80
1,3,1,384.00,14.97
1,3,2,204.00,66.21
1,3,3,260.00,35.78
1,3,4,300.00,21.91
1,3,5,356.00,32.00
1,3,6,280.00,12.65
1,3,7,292.00,48.33
1,3,8,372.00,27.13
1,3,9,280.00,45.61
1,3,10,264.00,69.74
1,3,11,252.00,16.00
1,4,0,296.00,23.32
1,4,1,348.00,20.40
1,4,2,276.00,23.32
1,4,3,272.00,53.07
1,4,4,284.00,23.32
1,4,5,252.00,54.55
1,4,6,292.00,9.80
1,4,7,284.00,23.32
1,4,8,352.00,78.59
1,4,9,288.00,27.13
1,4,10,292.00,16.00
1,4,11,296.00,14.97
