bc_pos,bc_seed,rl_seed,mean_reward,std_reward
0,0,0,60.00,45.61
0,0,1,72.00,41.18
0,0,2,60.00,28.28
0,0,3,80.00,45.61
0,0,4,72.00,32.50
0,0,5,84.00,36.66
0,0,6,80.00,41.95
0,0,7,104.00,26.53
0,0,8,80.00,21.91
0,0,9,24.00,23.32
0,1,0,64.00,29.39
0,1,1,92.00,27.13
0,1,2,48.00,16.00
0,1,3,76.00,14.97
0,1,4,84.00,29.39
0,1,5,72.00,9.80
0,1,6,60.00,17.89
0,1,7,72.00,16.00
0,1,8,52.00,24.00
0,1,9,40.00,28.28
0,2,0,32.00,27.13
0,2,1,72.00,27.13
0,2,2,32.00,20.40
0,2,3,80.00,17.89
0,2,4,64.00,34.41
0,2,5,100.00,12.65
0,2,6,52.00,27.13
0,2,7,76.00,32.00
0,2,8,44.00,49.64
0,2,9,64.00,8.00
0,3,0,80.00,33.47
0,3,1,96.00,46.30
0,3,2,56.00,26.53
0,3,3,68.00,27.13
0,3,4,80.00,43.82
0,3,5,52.00,32.50
0,3,6,56.00,38.78
0,3,7,88.00,24.00
0,3,8,68.00,43.08
0,3,9,40.00,25.30
0,4,0,68.00,20.40
0,4,1,92.00,27.13
0,4,2,76.00,34.41
0,4,3,72.00,27.13
0,4,4,84.00,29.39
0,4,5,88.00,29.93
0,4,6,48.00,41.18
0,4,7,88.00,9.80
0,4,8,76.00,8.00
0,4,9,44.00,14.97
1,0,0,84.00,29.39
1,0,1,40.00,21.91
1,0,2,44.00,29.39
1,0,3,64.00,23.32
1,0,4,60.00,50.60
1,0,5,48.00,34.87
1,0,6,64.00,8.00
1,0,7,48.00,41.18
1,0,8,64.00,32.00
1,0,9,80.00,33.47
1,1,0,56.00,23.32
1,1,1,68.00,41.18
1,1,2,72.00,32.50
1,1,3,64.00,26.53
1,1,4,88.00,20.40
1,1,5,80.00,28.28
1,1,6,100.00,17.89
1,1,7,76.00,19.60
1,1,8,84.00,23.32
1,1,9,64.00,34.41
1,2,0,68.00,16.00
1,2,1,88.00,43.08
1,2,2,40.00,21.91
1,2,3,104.00,14.97
1,2,4,28.00,16.00
1,2,5,72.00,51.54
1,2,6,68.00,20.40
1,2,7,68.00,27.13
1,2,8,60.00,12.65
1,2,9,48.00,37.09
1,3,0,64.00,23.32
1,3,1,92.00,43.08
1,3,2,64.00,26.53
1,3,3,68.00,41.18
1,3,4,72.00,16.00
1,3,5,68.00,41.18
1,3,6,88.00,29.93
1,3,7,112.00,20.40
1,3,8,24.00,23.32
1,3,9,60.00,35.78
1,4,0,36.00,23.32
1,4,1,96.00,40.79
1,4,2,72.00,20.40
1,4,3,40.00,33.47
1,4,4,64.00,8.00
1,4,5,100.00,28.28
1,4,6,40.00,37.95
1,4,7,92.00,16.00
1,4,8,80.00,47.33
1,4,9,72.00,9.80
