bc_pos,bc_seed,rl_seed,mean_reward,std_reward
0,0,0,136.00,19.60
0,0,1,192.00,9.80
0,0,2,144.00,64.99
0,0,3,180.00,12.65
0,0,4,164.00,14.97
0,0,5,176.00,14.97
0,0,6,180.00,17.89
0,0,7,192.00,9.80
0,0,8,124.00,63.75
0,0,9,164.00,14.97
0,0,10,176.00,14.97
0,0,11,172.00,37.09
0,1,0,168.00,27.13
0,1,1,164.00,23.32
0,1,2,184.00,14.97
0,1,3,164.00,14.97
0,1,4,140.00,48.99
0,1,5,176.00,26.53
0,1,6,180.00,17.89
0,1,7,180.00,17.89
0,1,8,136.00,63.75
0,1,9,164.00,14.97
0,1,10,160.00,12.65
0,1,11,152.00,29.93
0,2,0,136.00,63.75
0,2,1,184.00,14.97
0,2,2,132.00,56.00
0,2,3,144.00,55.71
0,2,4,144.00,66.21
0,2,5,180.00,30.98
0,2,6,172.00,46.65
0,2,7,160.00,41.95
0,2,8,128.00,48.33
0,2,9,124.00,44.54
0,2,10,164.00,26.53
0,2,11,132.00,51.54
0,3,0,156.00,26.53
0,3,1,180.00,12.65
0,3,2,168.00,20.40
0,3,3,132.00,48.33
0,3,4,184.00,23.32
0,3,5,124.00,63.75
0,3,6,156.00,68.59
0,3,7,132.00,29.93
0,3,8,172.00,9.80
0,3,9,180.00,12.65
0,3,10,164.00,23.32
0,3,11,180.00,12.65
0,4,0,184.00,14.97
0,4,1,152.00,57.41
0,4,2,156.00,38.78
0,4,3,156.00,38.78
0,4,4,176.00,8.00
0,4,5,172.00,27.13
0,4,6,156.00,29.39
0,4,7,136.00,40.79
0,4,8,152.00,49.96
0,4,9,180.00,25.30
0,4,10,160.00,17.89
0,4,11,152.00,37.09
1,0,0,200.00,0.00
1,0,1,184.00,23.32
1,0,2,204.00,8.00
1,0,3,196.00,14.97
1,0,4,208.00,9.80
1,0,5,176.00,49.64
1,0,6,176.00,32.00
1,0,7,188.00,16.00
1,0,8,176.00,52.76
1,0,9,196.00,8.00
1,0,10,184.00,14.97
1,0,11,104.00,52.76
1,1,0,176.00,26.53
1,1,1,200.00,17.89
1,1,2,180.00,28.28
1,1,3,192.00,16.00
1,1,4,196.00,14.97
1,1,5,168.00,34.87
1,1,6,200.00,21.91
1,1,7,200.00,12.65
1,1,8,200.00,0.00
1,1,9,208.00,9.80
1,1,10,164.00,14.97
1,1,11,188.00,16.00
1,2,0,204.00,8.00
1,2,1,204.00,8.00
1,2,2,164.00,62.48
1,2,3,196.00,8.00
1,2,4,196.00,19.60
1,2,5,196.00,8.00
1,2,6,196.00,23.32
1,2,7,196.00,14.97
1,2,8,200.00,12.65
1,2,9,196.00,19.60
1,2,10,160.00,28.28
1,2,11,196.00,29.39
1,3,0,196.00,8.00
1,3,1,168.00,37.09
1,3,2,172.00,27.13
1,3,3,188.00,16.00
1,3,4,200.00,0.00
1,3,5,200.00,0.00
1,3,6,200.00,17.89
1,3,7,192.00,16.00
1,3,8,156.00,40.79
1,3,9,204.00,14.97
1,3,10,188.00,24.00
1,3,11,188.00,37.09
1,4,0,196.00,14.97
1,4,1,176.00,19.60
1,4,2,172.00,29.93
1,4,3,188.00,20.40
1,4,4,184.00,23.32
1,4,5,180.00,12.65
1,4,6,156.00,29.39
1,4,7,188.00,24.00
1,4,8,104.00,48.00
1,4,9,188.00,9.80
1,4,10,176.00,32.00
1,4,11,200.00,12.65
