bc_pos,bc_seed,rl_seed,mean_reward,std_reward
0,0,0,4.00,8.00
0,0,1,0.00,0.00
0,0,2,4.00,8.00
0,0,3,4.00,8.00
0,0,4,4.00,8.00
0,0,5,4.00,8.00
0,0,6,0.00,0.00
0,0,7,4.00,8.00
0,0,8,4.00,8.00
0,0,9,4.00,8.00
0,1,0,4.00,8.00
0,1,1,28.00,29.93
0,1,2,20.00,12.65
0,1,3,64.00,48.00
0,1,4,40.00,28.28
0,1,5,36.00,32.00
0,1,6,36.00,34.41
0,1,7,44.00,38.78
0,1,8,4.00,8.00
0,1,9,80.00,60.66
0,2,0,4.00,8.00
0,2,1,28.00,34.87
0,2,2,4.00,8.00
0,2,3,36.00,52.76
0,2,4,4.00,8.00
0,2,5,24.00,32.00
0,2,6,20.00,30.98
0,2,7,68.00,60.13
0,2,8,24.00,38.78
0,2,9,72.00,67.65
0,3,0,0.00,0.00
0,3,1,0.00,0.00
0,3,2,28.00,20.40
0,3,3,4.00,8.00
0,3,4,52.00,65.24
0,3,5,32.00,27.13
0,3,6,8.00,9.80
0,3,7,20.00,30.98
0,3,8,4.00,8.00
0,3,9,16.00,14.97
0,4,0,76.00,72.00
0,4,1,16.00,14.97
0,4,2,4.00,8.00
0,4,3,68.00,68.82
0,4,4,36.00,44.54
0,4,5,20.00,25.30
0,4,6,16.00,19.60
0,4,7,56.00,42.71
0,4,8,52.00,57.41
0,4,9,28.00,24.00
1,0,0,108.00,84.47
1,0,1,112.00,67.65
1,0,2,128.00,78.59
1,0,3,88.00,60.13
1,0,4,140.00,59.33
1,0,5,104.00,63.75
1,0,6,72.00,48.33
1,0,7,140.00,60.66
1,0,8,76.00,32.00
1,0,9,120.00,78.99
1,1,0,156.00,80.40
1,1,1,236.00,79.40
1,1,2,116.00,57.13
1,1,3,184.00,68.59
1,1,4,144.00,63.75
1,1,5,132.00,82.56
1,1,6,72.00,27.13
1,1,7,192.00,51.54
1,1,8,128.00,96.83
1,1,9,160.00,43.82
1,2,0,92.00,69.97
1,2,1,108.00,92.61
1,2,2,168.00,32.50
1,2,3,144.00,63.75
1,2,4,68.00,57.41
1,2,5,136.00,99.12
1,2,6,96.00,46.30
1,2,7,108.00,100.08
1,2,8,192.00,102.45
1,2,9,168.00,69.97
1,3,0,160.00,28.28
1,3,1,228.00,32.50
1,3,2,172.00,37.09
1,3,3,180.00,28.28
1,3,4,136.00,55.71
1,3,5,180.00,98.79
1,3,6,136.00,79.40
1,3,7,152.00,62.74
1,3,8,96.00,59.87
1,3,9,120.00,45.61
1,4,0,132.00,67.65
1,4,1,168.00,91.74
1,4,2,116.00,67.41
1,4,3,88.00,61.45
1,4,4,148.00,67.65
1,4,5,88.00,74.40
1,4,6,80.00,50.60
1,4,7,60.00,21.91
1,4,8,108.00,81.58
1,4,9,180.00,75.89
