bc_pos,bc_seed,rl_seed,mean_reward,std_reward
0,0,0,124.00,34.41
0,0,1,120.00,21.91
0,0,2,120.00,33.47
0,0,3,140.00,25.30
0,0,4,4.00,8.00
0,0,5,104.00,23.32
0,0,6,88.00,51.54
0,0,7,116.00,23.32
0,0,8,4.00,8.00
0,0,9,132.00,20.40
0,1,0,108.00,9.80
0,1,1,92.00,44.90
0,1,2,108.00,20.40
0,1,3,120.00,17.89
0,1,4,4.00,8.00
0,1,5,108.00,24.00
0,1,6,100.00,35.78
0,1,7,136.00,29.39
0,1,8,0.00,0.00
0,1,9,148.00,32.50
0,2,0,124.00,26.53
0,2,1,112.00,16.00
0,2,2,120.00,33.47
0,2,3,112.00,48.33
0,2,4,0.00,0.00
0,2,5,108.00,24.00
0,2,6,116.00,34.41
0,2,7,128.00,20.40
0,2,8,4.00,8.00
0,2,9,112.00,24.00
0,3,0,88.00,27.13
0,3,1,100.00,17.89
0,3,2,116.00,14.97
0,3,3,100.00,45.61
0,3,4,4.00,8.00
0,3,5,136.00,32.00
0,3,6,104.00,38.78
0,3,7,140.00,12.65
0,3,8,0.00,0.00
0,3,9,132.00,27.13
0,4,0,116.00,14.97
0,4,1,124.00,8.00
0,4,2,120.00,12.65
0,4,3,124.00,44.54
0,4,4,0.00,0.00
0,4,5,96.00,23.32
0,4,6,96.00,40.79
0,4,7,144.00,19.60
0,4,8,4.00,8.00
0,4,9,112.00,37.09
1,0,0,124.00,14.97
1,0,1,112.00,16.00
1,0,2,140.00,12.65
1,0,3,136.00,23.32
1,0,4,8.00,9.80
1,0,5,96.00,23.32
1,0,6,112.00,27.13
1,0,7,120.00,28.28
1,0,8,16.00,14.97
1,0,9,148.00,29.93
1,1,0,132.00,16.00
1,1,1,128.00,16.00
1,1,2,144.00,14.97
1,1,3,128.00,27.13
1,1,4,20.00,21.91
1,1,5,92.00,24.00
1,1,6,124.00,14.97
1,1,7,124.00,23.32
1,1,8,16.00,14.97
1,1,9,124.00,34.41
1,2,0,116.00,14.97
1,2,1,128.00,9.80
1,2,2,140.00,21.91
1,2,3,96.00,38.78
1,2,4,16.00,8.00
1,2,5,104.00,42.71
1,2,6,96.00,52.76
1,2,7,132.00,27.13
1,2,8,20.00,21.91
1,2,9,136.00,14.97
1,3,0,116.00,23.32
1,3,1,132.00,9.80
1,3,2,148.00,20.40
1,3,3,104.00,58.51
1,3,4,24.00,8.00
1,3,5,84.00,23.32
1,3,6,136.00,8.00
1,3,7,148.00,16.00
1,3,8,12.00,16.00
1,3,9,164.00,23.32
1,4,0,136.00,23.32
1,4,1,112.00,24.00
1,4,2,148.00,32.50
1,4,3,156.00,14.97
1,4,4,24.00,14.97
1,4,5,136.00,19.60
1,4,6,140.00,17.89
1,4,7,160.00,12.65
1,4,8,12.00,16.00
1,4,9,176.00,23.32
