bc_pos,bc_seed,rl_seed,mean_reward,std_reward
0,0,0,48.00,29.93
0,0,1,32.00,20.40
0,0,2,88.00,27.13
0,0,3,44.00,29.39
0,0,4,60.00,25.30
0,0,5,32.00,27.13
0,0,6,100.00,12.65
0,0,7,52.00,37.09
0,0,8,60.00,50.60
0,0,9,44.00,23.32
0,1,0,32.00,20.40
0,1,1,68.00,39.19
0,1,2,72.00,49.96
0,1,3,52.00,20.40
0,1,4,36.00,42.71
0,1,5,52.00,27.13
0,1,6,68.00,34.87
0,1,7,112.00,24.00
0,1,8,64.00,29.39
0,1,9,44.00,23.32
0,2,0,40.00,17.89
0,2,1,64.00,34.41
0,2,2,80.00,40.00
0,2,3,84.00,23.32
0,2,4,56.00,29.39
0,2,5,40.00,35.78
0,2,6,76.00,29.39
0,2,7,100.00,33.47
0,2,8,72.00,41.18
0,2,9,32.00,29.93
0,3,0,72.00,27.13
0,3,1,84.00,44.54
0,3,2,84.00,29.39
0,3,3,132.00,9.80
0,3,4,64.00,19.60
0,3,5,48.00,16.00
0,3,6,80.00,21.91
0,3,7,84.00,32.00
0,3,8,52.00,39.19
0,3,9,100.00,28.28
0,4,0,92.00,32.50
0,4,1,68.00,37.09
0,4,2,80.00,35.78
0,4,3,60.00,33.47
0,4,4,24.00,14.97
0,4,5,40.00,12.65
0,4,6,92.00,9.80
0,4,7,68.00,27.13
0,4,8,36.00,14.97
0,4,9,56.00,46.30
1,0,0,72.00,29.93
1,0,1,76.00,42.71
1,0,2,100.00,21.91
1,0,3,92.00,37.09
1,0,4,40.00,21.91
1,0,5,48.00,20.40
1,0,6,84.00,34.41
1,0,7,36.00,14.97
1,0,8,68.00,37.09
1,0,9,72.00,34.87
1,1,0,60.00,28.28
1,1,1,40.00,37.95
1,1,2,56.00,52.76
1,1,3,120.00,21.91
1,1,4,32.00,20.40
1,1,5,48.00,24.00
1,1,6,56.00,29.39
1,1,7,96.00,26.53
1,1,8,28.00,37.09
1,1,9,88.00,48.33
1,2,0,56.00,23.32
1,2,1,64.00,29.39
1,2,2,96.00,44.54
1,2,3,124.00,23.32
1,2,4,64.00,23.32
1,2,5,64.00,29.39
1,2,6,52.00,20.40
1,2,7,76.00,23.32
1,2,8,20.00,30.98
1,2,9,64.00,29.39
1,3,0,40.00,12.65
1,3,1,24.00,14.97
1,3,2,48.00,51.54
1,3,3,84.00,40.79
1,3,4,20.00,12.65
1,3,5,44.00,48.00
1,3,6,92.00,29.93
1,3,7,60.00,25.30
1,3,8,76.00,52.76
1,3,9,76.00,23.32
1,4,0,72.00,20.40
1,4,1,64.00,46.30
1,4,2,88.00,32.50
1,4,3,100.00,50.60
1,4,4,20.00,40.00
1,4,5,64.00,8.00
1,4,6,76.00,19.60
1,4,7,80.00,41.95
1,4,8,16.00,19.60
1,4,9,48.00,46.65
