bc_pos,bc_seed,rl_seed,mean_reward,std_reward
0,0,0,76.00,38.78
0,0,1,76.00,23.32
0,0,2,96.00,32.00
0,0,3,64.00,38.78
0,0,4,44.00,38.78
0,0,5,52.00,37.09
0,0,6,60.00,50.60
0,0,7,36.00,19.60
0,0,8,20.00,17.89
0,0,9,64.00,38.78
0,1,0,32.00,16.00
0,1,1,96.00,23.32
0,1,2,72.00,32.50
0,1,3,96.00,14.97
0,1,4,52.00,20.40
0,1,5,72.00,27.13
0,1,6,28.00,20.40
0,1,7,52.00,24.00
0,1,8,52.00,20.40
0,1,9,52.00,27.13
0,2,0,52.00,37.09
0,2,1,96.00,26.53
0,2,2,56.00,46.30
0,2,3,84.00,34.41
0,2,4,52.00,16.00
0,2,5,64.00,19.60
0,2,6,60.00,28.28
0,2,7,40.00,21.91
0,2,8,48.00,24.00
0,2,9,64.00,14.97
0,3,0,88.00,20.40
0,3,1,96.00,23.32
0,3,2,100.00,60.66
0,3,3,80.00,25.30
0,3,4,92.00,27.13
0,3,5,56.00,38.78
0,3,6,68.00,20.40
0,3,7,48.00,16.00
0,3,8,40.00,17.89
0,3,9,52.00,24.00
0,4,0,60.00,25.30
0,4,1,40.00,17.89
0,4,2,68.00,39.19
0,4,3,36.00,32.00
0,4,4,52.00,27.13
0,4,5,80.00,12.65
0,4,6,48.00,27.13
0,4,7,28.00,9.80
0,4,8,36.00,29.39
0,4,9,40.00,17.89
1,0,0,72.00,24.00
1,0,1,80.00,25.30
1,0,2,96.00,46.30
1,0,3,24.00,19.60
1,0,4,24.00,23.32
1,0,5,56.00,19.60
1,0,6,52.00,9.80
1,0,7,60.00,25.30
1,0,8,44.00,23.32
1,0,9,28.00,27.13
1,1,0,96.00,8.00
1,1,1,68.00,48.33
1,1,2,72.00,43.08
1,1,3,88.00,16.00
1,1,4,64.00,29.39
1,1,5,72.00,20.40
1,1,6,80.00,33.47
1,1,7,44.00,26.53
1,1,8,40.00,17.89
1,1,9,68.00,27.13
1,2,0,68.00,41.18
1,2,1,88.00,41.18
1,2,2,84.00,38.78
1,2,3,104.00,23.32
1,2,4,16.00,8.00
1,2,5,60.00,21.91
1,2,6,32.00,27.13
1,2,7,36.00,19.60
1,2,8,40.00,35.78
1,2,9,40.00,21.91
1,3,0,64.00,44.54
1,3,1,72.00,37.09
1,3,2,100.00,41.95
1,3,3,92.00,16.00
1,3,4,64.00,38.78
1,3,5,40.00,30.98
1,3,6,80.00,41.95
1,3,7,60.00,21.91
1,3,8,44.00,19.60
1,3,9,72.00,27.13
1,4,0,92.00,16.00
1,4,1,96.00,19.60
1,4,2,80.00,40.00
1,4,3,80.00,35.78
1,4,4,24.00,32.00
1,4,5,60.00,35.78
1,4,6,60.00,35.78
1,4,7,40.00,21.91
1,4,8,44.00,14.97
1,4,9,80.00,0.00
